#编号	3D模块文件名	NPC战斗用图	NPC全身图	NPC队伍图	NPC 小图	是否记录友好度	NPC名称	人物简介	性别	派别ICON	称号设定
#iID	s3DModel	sMaxImage	sAllImage	sMemberImage	sSmallImage	iFriendly	sNpcName	sIntroduction	iGenderType	iMartialType	sTitle
200016	Menpai_water	B200016	200016	M200016	S200016	1	水盼盼	峨嵋派弟子，是个英气蓬勃的女侠。个性干练果断，恩怨分明，素来有巾帼不让须眉的美誉，亦是上届少年英雄会探花，排名仅在谷月轩与萧复之下。	0	32	冰心女侠
200017	Menpai_dragon	B200017	200017	M200017	S200017	1	龙墨	点苍派少门主，是个风流倜傥、个性直爽的豪杰。点苍派向来以剑立道，但龙墨却对刀情有独钟，另辟蹊径将点苍剑法融入快刀施展，因此而遭到点苍耆老们的反对，一气之下，远走出门。	1	39	点苍刀
200020	Menpai_xiaofu	B200020	200020	M200020	S200020	1	萧复	上届少年英雄会的榜眼，弦剑山庄大公子。沉默寡言，稳重内敛，对音律有相当深厚的浸淫。	1	30	七绝剑侠
200022	Etc_Taya	B200022	200022	M200022	S200022	1	塔娅	花族少女，天资聪颖，可举一反三，对于数术极有兴趣，因此被星像塔中的长老收为徒弟，专门学习数学与天文方面知识，被称为部族中的智者「沙吉丝」。	0	55	沙吉丝
200027	Ghost_dragon	B200027	200027	M200027	S200027	1	敖广	酆都东海分舵舵主，原东海龙宫帮主。早年曾率众与倭寇相抗，挟制东南沿海贸易商路，为人虽然利字当头，但却出乎意料是个十分重义气的好汉。	1	40	海龙王
200038	SL_Budom	B200038	200038	M200038	S200038	1	不动	因儿时曾遭逢巨变，导致心智发展封闭而迟缓，直到十岁才会言语。却也因此得以专心于武道的修练，年纪虽小，实力在少林寺内已出类拔萃。	1	4	不语罗汉
200039	YYG_fat	B200039	200039	M200039	S200039	1	岳胖子	隐元阁少阁主，是个玩世不恭的游侠。对于风水与盗墓知识有着深厚的浸淫，总是有办法寻到许多不为人知的秘境。	1	38	隐元少阁主
200044	Etc_chuhuai	B200044	200044	M200044	S200044	1	楚绘	与江南第一名妓香儿并称的奇女子，真实身分是侠盗夜飘香，似乎拥有十分传奇的身世。	0	0	夜飘香
210048	DL_Ama	B210048	210048	M210048	S210048	1	小阿曼	毒龙教中年纪最轻的女弟子，天真烂漫，不通世务，但炼蛊技巧却十分出众。	0	8	赤陀罗
877001	0	B877001	877001	0	0	0	阿莉	阎罗所养的猫，全名伊丽莎白，原本是外国商队所养，在一次船难后，和阎罗共同在阿鼻岛生活。	2	0	喵星人
877002	0	B877002	877002	0	0	0	幼猫	由阿莉所生。	2	0	喵星人
877003	Etc_Taya	B100079	100079	0	S100079	0	渔民	东南沿海一带以捕鱼维生的民众。	1	0	0
877004	LY_people06	B400014	400014	M400014	S400014	0	刘叔	普通百姓。	1	0	平民百姓
877005	etc_mupin	B200035	200035	M200035	S200035	0	沐萍	孔雀王朝圣女。	0	0	孔雀圣女
877006	LY_waiter	B400014	400014	0	S400014	0	村民	村民	1	0	50元
877007	CD_fulon	B100205	100205	0	S100205	0	年芙蓉	0	0	0	0
877008	0	B100137	100137	0	S100137	0	天闻	南少林和尚	1	0	老和尚
877009	Heluo_Huang	0	0	0	0	0	迷之声甲	熟悉的声音，不知在哪听过	1	0	迷之声
877010	East_chen	0	0	0	0	0	迷之声乙	熟悉的声音，不知在哪听过	1	0	迷之声
877011	Heluo_Gao	0	0	0	0	0	迷之声丙	熟悉的声音，不知在哪听过	1	0	迷之声
878001	Etc_Shark2_young	B878001	878001	0	S878001	0	东海龙宫众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	小喽啰
878002	LY_soldier3_young	B878002	878002	0	S878002	0	神枪会帮众	神枪罗煞手下帮众，原为其麾下兵士，在罗煞挂印而去后，追随罗煞据山为匪，杀官劫粮。	1	40	小喽啰
878003	Ghost_pupil	B200028	200028	M200028	S200028	0	酆都鬼众	令江湖中人闻风丧胆的酆都「鬼众」。当然，他们都是活生生的人，但他们很乐意把反抗者变成真正的鬼。	1	40	酆都鬼众
878004	TL_guard05	B210163	210163	M210163	S210163	0	酆都厉鬼	酆都鬼众中的菁英，拥有十分坚强的战力。	1	40	酆都鬼众
878005	TL_guard06	B210164	210164	M210164	S210164	0	酆都伥鬼	酆都鬼众中的菁英，拥有十分坚强的战力。	1	40	酆都鬼众
878006	TL_guard04	B210165	210165	M210165	S210165	0	酆都绝鬼	酆都鬼众中的菁英，拥有十分坚强的战力。	1	40	酆都鬼众
878007	killer_ghost	B200012	200012	M200012	S200012	0	酆都艳鬼	酆都鬼众中的菁英，拥有十分坚强的战力。	0	40	酆都鬼众
878008	Etc_jp01	B100144	100144	M100144	S100144	0	倭寇	东海上的海盗。	1	25	海秃鹰
878009	Etc_jp02	B100145	100145	M100145	S100145	0	倭寇组长	东海上的海盗。	1	25	海秃鹰
878010	Etc_Shark2_young	B210177	210177	0	S210177	0	老杨	东海龙宫帮众。	1	48	龙宫帮众
878011	Etc_Shark2_young	B210179	210179	0	S210179	0	老张	东海龙宫帮众。	1	48	龙宫帮众
878012	Etc_Shark2_young	B878001	878001	0	S878001	0	小李子	东海龙宫帮众，貌似畏缩但胸有大志的年轻小伙，受老张老杨引介，刚加入龙宫不久。	1	48	龙宫帮众
878013	Etc_jpassa	B360068	360068	0	S360068	0	黑冢忍者	誓死效忠黑冢罗王的忍者，从小接受抹灭人性与极为严苛的训练，一心只有主子。	1	34	甲贺一族
878014	LY_soldier4	B990035	990035	0	S990035	0	大刀队长	大刀队长，暗中与黑冢军势勾结。	1	11	毛贼克星
878015	Guanfu_pupil	B100117	100117	0	S100117	0	衙门官兵	就是个尽忠职守的官兵。	1	11	无名小卒
878016	Etc_jpassa	B360068	360068	0	S360068	0	偷枪忍者	背着涯角枪的忍者。	1	25	海秃鹰
878017	Etc_jpassa	B360068	360068	0	S360068	0	烟雾忍者	负责施放烟幕的忍者。	1	25	海秃鹰
878018	Etc_jpassa	B360068	360068	0	S360068	0	影分身	誓死效忠黑冢罗王的忍者，从小接受抹灭人性与极为严苛的训练，一心只有主子。	1	34	甲贺一族
878019	Etc_jpassa	B360068	360068	0	S360068	0	黑冢中忍	誓死效忠黑冢罗王的忍者，从小接受抹灭人性与极为严苛的训练，一心只有主子。	1	34	甲贺一族
878020	Etc_jpassa	B360068	360068	0	S360068	0	黑冢忍者	誓死效忠黑冢罗王的忍者，从小接受抹灭人性与极为严苛的训练，一心只有主子。	1	34	甲贺一族
878021	Guanfu_killer	B500006	500006	0	S500006	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878022	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878023	Guanfu_killer	B500006	500006	0	S500006	0	毓明	锦衣卫指挥使，为人注重效率，为达目的不择手段，武功虽不比同辈的游进、封青霄等人，但因善于侦缉、刺探，屡屡建功而累官至指挥使，现与游进共同追查勤王余党。	1	11	指挥使
878024	Guanfu_you	B210055	210055	M210055	S210055	1	游进	戴着罗剎面具，以恶鬼形象威吓贼寇的锦衣卫指挥使。位阶三品，实力精强，不下于任何一个名门正派的掌门。	1	11	铁面罗剎
878025	Guanfu_killer	B500006	500006	0	S500006	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878026	Guanfu_killer	B500006	500006	0	S500006	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878027	Guanfu_killer	B500006	500006	0	S500006	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878028	Guanfu_killer	B500006	500006	0	S500006	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878029	kille_die	B500083	500083	M500083	S500083	0	辟邪死士	由辟邪老人一手培养的冷血杀手，只听从辟邪老人的命令，以复仇和杀戮为己任。	1	35	飞蝠
878030	Ghost_ywoman	B879008	879008	0	S879008	0	孟倩思	出身江南大族孟家的千金，后与护卫勤王幼子的侍卫聂胜相识相恋，为爱私奔，却遭锦衣卫追杀，夫离子散。	0	0	离魂倩女
878031	East_killer	B100116	100116	M100116	S100116	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878032	Guanfu_you	B210055	210055	M210055	S210055	1	游进	戴着罗剎面具，以恶鬼形象威吓贼寇的锦衣卫指挥使。位阶三品，实力精强，不下于任何一个名门正派的掌门。	1	11	铁面罗剎
878033	LY_soldier3	B990037	990037	0	S990037	0	枪兵护卫	隶属于杭州府的护卫。	1	11	知府护卫
878034	East_chen	B000001	0	0	0	0	黑影		1	0	黑影
878035	East_chen	B100115	100115	M100115	S100115	0	陈公公	原名陈崇英。东厂头目，手段阴狠，武功造诣不明。是当今朝中最令忠臣义士切齿痛恨的一人。借囚禁戚将军的机会，打算诱出与朝廷作对的江湖人，并将他们一网打尽。	1	20	东厂不败
878036	LY_soldier4	B360078	360078	0	S360078	0	朝廷官兵	就是个尽忠职守的官兵。	1	11	无名小卒
878037	etc_jpBoss	B200032	200032	M200032	S200032	0	黑冢罗王	东瀛海上霸主，统领成千上万的倭寇，对沿海造成极大的威胁。亦是东瀛忍者集团首领，施得诡秘的忍术而使人防不胜防，精通无声杀人法。	1	34	东瀛霸主
878038	TL_mohu	B100010	100010	M100010	S100010	0	摩呼罗迦	本名罗蛇君，天龙八部之摩呼罗迦，天龙教中使毒的高手。个性阴沉，行事毒辣，在江湖中恶名远播。隶属于龙王麾下，专司笼络武林各大门派的势力。	1	1	摩呼罗迦
878039	Xyg_Xuanmin	B100018	100018	M100018	S100018	0	玄冥子	无瑕子的师弟，原本也是逍遥谷传人，在无瑕子跟萧潇之间，有着一段不为人知的纠葛。后叛出逍遥谷，投奔天龙教，为人阴狠，十分懂得利用人性的弱点。身具百年前失传的「化功大法」绝活，并擅于用毒。	1	1	辣手毒心
878040	TL_guard01	B610166	610166	M610166	S610166	0	婆竭罗	天龙教四天王之一，外表雌雄莫辨，个性冷酷，以玩弄敌人为乐。相当迷恋于自己的美貌。	1	1	四天王
878041	TL_guard02	B610167	610167	M610167	S610167	0	摄湿生	天龙教四天王之一，来自天竺国，是硬气功的高手。赤红的手掌是长期以朱砂修练掌功所致，威力足可劈石破玉。	1	1	四天王
878042	TL_guard03	B610168	610168	M610168	S610168	0	自在天	天龙教四天王之一，擅长舞蹈与丝竹，隶属于干达婆麾下，在干达婆反走后宣誓效忠龙王。擅使日月双轮，曾代阿修罗传功给修罗宫门人。	0	1	四天王
878043	TL_guard08	B610169	610169	M610169	S610169	0	持国天	天龙教四天王之一，年纪最长，掌法造诣出神入化，据说其实力并不在八部众之下。	1	1	四天王
878044	DL_pupil3	B100069	100069	M100069	S100069	0	铁叉部勇士	铁叉部族人。	1	51	蛮牛
878045	killer_fomu	B200003	200003	M200003	S200003	0	佛母	原本是孔雀王朝圣女身边的侍母，孔雀王朝被黑冢罗王所灭后，佛母亦得到了解放。从此转入黑暗之中，做一些不为人知的勾当。	0	0	王朝侍女
878046	Killer_corpse	B200005	200005	M200005	S200005	0	傀尸	精通炼尸与傀儡术的茅山术士。四处搜集强者的尸体，以秘药将其做成不腐不朽的傀儡，并操控其杀人。	1	63	半人半尸
878047	killer_corpse3	B200007	200007	M200007	S200007	0	银尸	炼尸一定要挑四阴之地，破败之局。用阴气最重的香杉木棺安置尸身，尽量远离地面，以乌鸦血代替鸡血，配合心口八卦，吸大阴之气。	1	63	我尸故我在
878048	killer_Pixie	B200002	200002	M200002	S200002	0	辟邪老人	天意城城主，也是法外三旬事件幕后真正主使，为了称雄武林而无所不用其极。即便拖着残缺的身躯，百年来心里的火焰都未曾熄灭。	1	35	天意难违
878049	LY_soldier3	B990037	990037	0	S990037	0	沐王府精兵	隶属于沐王府的枪兵。	1	11	沐王精兵
878050	LY_soldier4	B360078	360078	0	S360078	0	沐王府精兵	隶属于沐王府的刀兵。	1	11	沐王精兵
878051	Etc_jp02	B100145	100145	M100145	S100145	0	侍鬼	誓死效忠黑冢罗王的忍者，从小接受抹灭人性与极为严苛的训练，一心只有主子。	1	34	甲贺一族
878052	LY_soldier4	B360078	360078	0	S360078	0	大刀护卫	隶属于杭州府的护卫。	1	11	知府护卫
878053	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878054	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878055	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878056	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878057	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878058	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878059	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878060	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878061	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878062	Etc_Shark2_young	B878001	878001	0	S878001	0	定位用	定位用	1	48	方向标
878063	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878064	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878065	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878066	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878067	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878068	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878069	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878070	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878071	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878072	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
878073	LY_soldier4	B360078	360078	0	S360078	0	大刀护卫	隶属于杭州府的护卫。	1	11	知府护卫
878074	LY_soldier4	B360078	360078	0	S360078	0	大刀护卫	隶属于杭州府的护卫。	1	11	知府护卫
878075	LY_soldier4	B360078	360078	0	S360078	0	大刀护卫	隶属于杭州府的护卫。	1	11	知府护卫
878076	LY_soldier4	B360078	360078	0	S360078	0	大刀护卫	隶属于杭州府的护卫。	1	11	知府护卫
878077	LY_soldier3	B990037	990037	0	S990037	0	枪兵护卫	隶属于杭州府的护卫。	1	11	知府护卫
878078	LY_soldier3	B990037	990037	0	S990037	0	枪兵护卫	隶属于杭州府的护卫。	1	11	知府护卫
878079	LY_soldier3	B990037	990037	0	S990037	0	枪兵护卫	隶属于杭州府的护卫。	1	11	知府护卫
878080	LY_soldier3	B990037	990037	0	S990037	0	枪兵护卫	隶属于杭州府的护卫。	1	11	知府护卫
878081	DL_pupil	B100068	100068	M100068	S100068	0	铁叉部女子	铁叉部族人。	0	51	萨满
878082	TL_pupil	B100130	100130	M100130	S100130	0	天龙教众	天龙教众，谁也不知道他们在想什么。	1	1	天龙教众
878083	TL_pupilxl	B100130	100130	M100130	S100130	0	天龙菁英	天龙教中的菁英，你不会想得罪他的。	1	1	天龙菁英
878084	LY_soldier4	B990035	990035	0	S990035	0	官兵统领	官兵统领，暗中与黑冢军势勾结。	1	11	统领
878085	Etc_jp02	B100145	100145	M100145	S100145	0	东瀛浪人	号称东瀛第一高手，渡海而来，四处踢馆，是个武道狂人。	1	25	拔刀千人斩
878086	Rogue04	B360087	360087	0	S360087	0	孔雀王护卫	孔雀王朝的皇家护卫，武力高强。	1	0	魔山
878087	Rogue03	B360088	360088	0	S360088	0	孔雀王护卫	孔雀王朝的皇家护卫，武力高强。	1	0	猎犬
878088	Etc_jpassa	B360068	360068	0	S360068	0	黑冢暗部	黑冢罗王最精锐的手下。	1	34	风魔一族
878089	killer_fomu	B200003	200003	M200003	S200003	0	目莲	原本是孔雀王朝圣女身边的侍母，孔雀王朝被黑冢罗王所灭后，为向黑冢罗王报杀害上代圣女之仇，自请加入酆都共抗强敌。	0	0	酆都目莲
878090	Etc_Shark2_young	B878001	878001	0	S878001	0	冒牌龙宫帮众	假冒的龙宫帮众。	1	63	假货
878091	Etc_Shark1	B100141	100141	M100141	S100141	0	熊天霸	海鲨帮帮主，威武的绿林好汉，身高超过八尺，声若洪钟，暴眼环睛，冲动暴躁。然而极讲信义，是一条铁铮铮的汉子。与史义、陆少临是结拜兄弟。	1	24	虎鲨
878092	Etc_Shark2	B100142	100142	M100142	S100142	0	海鲨帮众	海鲨帮众	1	24	海鲨帮众
878093	LY_BonBon	B990035	990035	M990035	S990035	0	神火兵	保命要紧，你还有闲情逸致看他的简介？	1	11	神机营精锐
878094	Etc_jpassa	B360068	360068	0	S360068	0	黑冢上忍	誓死效忠黑冢罗王的忍者，从小接受抹灭人性与极为严苛的训练，一心只有主子。	1	34	甲贺一族
878095	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878096	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878097	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878098	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878099	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878100	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878101	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878102	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878103	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878104	Etc_Shark2_young	B878001	878001	0	S878001	0	龙宫帮众	海龙王敖广手下帮众，原本都是亡命海上的不法之徒，但在敖广挺身反抗倭寇后，亦有不少沿海渔民加入其中。	1	48	龙宫帮众
878105	Etc_Shark2	B100142	100142	M100142	S100142	0	海鲨帮众	海鲨帮众	1	24	海鲨帮众
878106	Etc_Shark2	B100142	100142	M100142	S100142	0	海鲨帮众	海鲨帮众	1	24	海鲨帮众
878107	Etc_Shark2	B100142	100142	M100142	S100142	0	海鲨帮众	海鲨帮众	1	24	海鲨帮众
878108	Etc_Shark2	B100142	100142	M100142	S100142	0	海鲨帮众	海鲨帮众	1	24	海鲨帮众
878109	Etc_Shark2	B100142	100142	M100142	S100142	0	海鲨帮众	海鲨帮众	1	24	海鲨帮众
878110	ChickenF	B910011	910011	0	S910011	0	母鸡	常见的家禽，是农家蛋、肉的来源。母鸡没有鸡冠，会下蛋，不会啼叫，只会咯咯叫。	2	62	生生不息
878111	ChickenM	B910012	910012	0	S910012	0	公鸡	常见的家禽，是农家蛋、肉的来源。公鸡有鸡冠，会啼叫，有人用来报时。	2	62	声声不息
878112	Bear	B910002	910002	0	S910002	0	野熊	凶猛的大熊，皮粗肉厚，刀刃难伤，武功程度足以匹敌江湖小门派的掌门。曾被一东瀛拳士徒手打伤脑袋，变得更加愚蠢，但也益发凶暴了。	2	62	山谷之王
878113	BEAR_BABY	B910003	910003	0	S910003	0	小熊	天真无邪的样子，长大后将成为人见人怕的猛兽。	2	62	山谷之王子
878114	CROCODILE	B910004	910004	0	S910004	0	鳄鱼	长吻锐齿、四肢短小、尾巴扁平有力、皮硬厚鳞。是沼泽浅水区的无情杀手。	2	62	河之霸主
878115	CROCODILE	B910004	910004	0	S910004	0	佬二	长吻锐齿、四肢短小、尾巴扁平有力、皮硬厚鳞。是沼泽浅水区的无情杀手。	2	62	食肉王
878116	WOLF_B	B910005	910005	0	S910005	0	黑狼	聪明，群居动物，适应力强，可在各种区域生存，雪地、森林、荒野皆有牠的踪迹。常有旅人死在狼爪利齿下。	2	62	黑狼
878117	WOLF_B_B	B910006	910006	0	S910006	0	小黑狼	天真无邪的样子，长大后将成为人见人怕的猛兽。	2	62	小黑狼
878118	WOLF_W	B910007	910007	0	S910007	0	白狼	聪明，群居动物，适应力强，可在各种区域生存，雪地、森林、荒野皆有牠的踪迹。常有旅人死在狼爪利齿下。	2	62	白狼
878119	WOLF_W_B	B910008	910008	0	S910008	0	小白狼	天真无邪的样子，长大后将成为人见人怕的猛兽。	2	62	小白狼
878120	WOLF_Y	B910009	910009	0	S910009	0	棕狼	聪明，群居动物，适应力强，可在各种区域生存，雪地、森林、荒野皆有牠的踪迹。常有旅人死在狼爪利齿下。	2	62	棕狼
878121	WOLF_Y_B	B910010	910010	0	S910010	0	小棕狼	天真无邪的样子，长大后将成为人见人怕的猛兽。	2	62	小棕狼
878122	Eagle	B100143	100143	0	S100143	0	老鹰	目光锐利，指爪尖锐的猛禽。	2	62	老鹰
878123	Biao_pupil	B100079	100079	0	S100079	0	长虹镖师	长虹镖局的镖师	1	13	趟子手
878124	KF_pupil	B300129	300129	0	S300129	0	金风镖师	金风镖局的镖师	1	26	趟子手
