#戰鬥編號	戰場地圖編號	sPlayerTeam	sEnemyTeam	戰鬥勝利條件	戰鬥失敗條件	戰鬥勝利獎勵編號	戰鬥失敗獎勵編號	時間	音樂	室內外	存檔	掉落物	機率	掉落物	機率	掉落物	機率	掉落物	機率
#iID	sAreaID	sPlayerTeam	sEnemyTeam	iVictory	iFale	sReward	sReward	sTime	sBGM	sinside	sautosave	掉落物	機率	掉落物	機率	掉落物	機率	掉落物	機率
8700022	M0044_01_0202	(0,0,0)	(0,878218,208)*(0,878218,209)*(0,878218,161)*(-1,878218,163)*(-1,878014,206)*(-1,878014,211)*(-1,878014,142)*(-1,878021,174)*(-1,878204,151)*(-1,878205,181)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700023	M0042_02_0301	(0,0,0)	(0,878218,54)*(0,878218,123)*(0,878218,136)*(-1,878218,112)*(-1,878014,110)*(-1,878014,134)*(-1,878014,98)*(-1,878021,80)*(-1,878206,54)*(-1,878131,64)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700024	M0019_01_0303	(0,0,0)	(0,878014,694)*(0,878014,658)*(0,878014,725)*(-1,878014,690)*(-1,878052,578)*(-1,878052,541)*(-1,878052,613)*(-1,878021,542)*(-1,878130,1047)*(-1,878129,1046)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700025	M0016_01_0303	(0,0,0)	(0,878014,410)*(0,878014,1031)*(0,878014,893)*(-1,878014,534)*(-1,878052,914)*(-1,878052,798)*(-1,878052,671)*(-1,878021,555)*(-1,878024,833)*(-1,878023,489)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700026	M0015_01_0301	(0,0,0)	(0,878014,203)*(0,878014,254)*(0,878014,354)*(-1,878014,303)*(-1,878052,251)*(-1,878052,301)*(-1,878052,201)*(-1,878021,351)*(-1,878143,227)*(-1,878147,327)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700027	M0011_01_0301	(0,0,0)	(0,878014,174)*(0,878014,172)*(0,878014,210)*(-1,878014,207)*(-1,878052,186)*(-1,878052,247)*(-1,878052,69)*(-1,878021,30)*(-1,878152,107)*(-1,878157,48)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700028	M0040_01_07	(0,0,0)	(0,878014,58)*(0,878014,79)*(0,878014,26)*(-1,878014,89)*(-1,878052,66)*(-1,878052,110)*(-1,878052,98)*(-1,878021,67)*(-1,878175,46)*(-1,878250,7)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700029	M0026_01_05	(0,0,0)	(0,878021,118)*(0,878021,120)*(0,878021,102)*(-1,878052,87)*(-1,878052,89)*(-1,878014,100)*(-1,878024,107)*(-1,878023,136)*(-1,100022,139)*(-1,100023,18)	(0,0,0)	(0,0,0)	0	872005	-1	Y000040	0	0	0	0	0	0	0	0	0	0
8700030	M0028_02_04	(0,0,0)	(0,878021,272)*(0,878021,293)*(0,878021,313)*(-1,878052,357)*(-1,878052,231)*(-1,878014,252)*(-1,878024,209)*(-1,878023,211)*(-1,100024,355)*(-1,100025,229)	(0,0,0)	(0,0,0)	0	872005	-1	Y000015	0	0	0	0	0	0	0	0	0	0
8700031	M0022_01_0301	(0,0,0)	(0,878021,322)*(0,878021,325)*(0,878021,251)*(-1,878052,250)*(-1,878052,269)*(-1,878014,273)*(-1,878024,256)*(-1,878023,257)*(-1,100108,268)*(-1,100112,236)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	187087	25	187087	25	187087	25	187087	25
8700032	M0003_01_0301	(0,0,0)	(0,878021,114)*(0,878021,112)*(0,878021,113)*(-1,878052,135)*(-1,878052,155)*(-1,878014,53)*(-1,878024,56)*(-1,878023,116)*(-1,100113,54)*(-1,878203,55)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140212	50	140118	5	140115	5	140410	1
8700033	M0044_01_0202	(0,0,0)	(0,878021,208)*(0,878021,209)*(0,878021,161)*(-1,878052,163)*(-1,878052,206)*(-1,878014,211)*(-1,878024,142)*(-1,878023,174)*(-1,878204,151)*(-1,878205,181)	(0,0,0)	(0,0,0)	0	872005	-1	Y000026	0	0	140212	50	140118	5	140115	5	140410	1
8700034	M0042_02_0301	(0,0,0)	(0,878021,54)*(0,878021,123)*(0,878021,136)*(-1,878052,112)*(-1,878052,110)*(-1,878014,134)*(-1,878024,98)*(-1,878023,80)*(-1,878206,54)*(-1,878131,64)	(0,0,0)	(0,0,0)	0	872005	-1	Y000026	0	0	140407	5	140211	100	140226	50	0	0
8700035	M0019_01_0303	(0,0,0)	(0,878021,694)*(0,878021,658)*(0,878021,725)*(-1,878052,690)*(-1,878052,578)*(-1,878014,541)*(-1,878024,613)*(-1,878023,542)*(-1,878130,1047)*(-1,878129,1046)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140212	50	140118	10	140115	10	140410	3
8700036	M0011_01_0301	(0,0,0)	(0,878033,174)*(0,878033,172)*(0,878033,210)*(0,878033,207)*(-1,878219,186)*(-1,878219,247)*(-1,878219,69)*(-1,878049,30)*(-1,878049,107)*(-1,878049,48)*(-1,879012,212)*(-1,879014,194)	(0,0,0)	(0,0,0)	0	872005	-1	Y000015	0	0	187087	25	187087	25	187087	25	187087	25
8700037	M0040_01_07	(0,0,0)	(0,878033,58)*(0,878033,79)*(0,878033,26)*(0,878033,89)*(-1,878219,66)*(-1,878219,110)*(-1,878219,98)*(-1,878049,67)*(-1,878049,46)*(-1,878049,7)*(-1,879010,38)*(-1,878190,101)	(0,0,0)	(0,0,0)	0	872005	-1	Y000032	0	0	140307	10	141008	10	140401	50	140211	100
8700038	M0026_01_05	(0,0,0)	(0,878033,118)*(0,878033,120)*(0,878033,102)*(0,878033,87)*(-1,878219,89)*(-1,878219,100)*(-1,878219,107)*(-1,878049,136)*(-1,878049,139)*(-1,878049,18)*(-1,878182,11)*(-1,878091,10)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140211	100	140225	50	140403	20	141000	50
8700039	M0028_02_04	(0,0,0)	(0,878033,272)*(0,878033,293)*(0,878033,313)*(0,878033,357)*(-1,878219,231)*(-1,878219,252)*(-1,878219,209)*(-1,878049,211)*(-1,878049,355)*(-1,878049,229)*(-1,878125,295)*(-1,878128,315)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140211	100	140223	50	140402	20	141000	50
8700040	M0022_01_0301	(0,0,0)	(0,878033,322)*(0,878033,325)*(0,878033,251)*(0,878033,250)*(-1,878219,269)*(-1,878219,273)*(-1,878219,256)*(-1,878049,257)*(-1,878049,268)*(-1,878049,236)*(-1,878139,237)*(-1,878142,274)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140233	20	140234	20	140235	20	140236	20
8700041	M0003_01_0301	(0,0,0)	(0,878219,114)*(0,878219,112)*(0,878219,113)*(0,878219,135)*(-1,878049,155)*(-1,878049,53)*(-1,878049,56)*(-1,878049,116)*(-1,878146,54)*(-1,878149,55)*(-1,878156,75)*(-1,878159,76)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140303	15	140409	15	140607	15	140707	15
8700042	M0044_01_0202	(0,0,0)	(0,878219,208)*(0,878219,209)*(0,878219,161)*(0,878219,163)*(-1,878049,206)*(-1,878049,211)*(-1,878049,142)*(-1,878049,174)*(-1,879012,151)*(-1,879014,181)*(-1,879010,190)*(-1,878190,192)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	141106	30	140211	100	140224	50	140602	10
8700043	M0042_02_0301	(0,0,0)	(0,878219,54)*(0,878219,123)*(0,878219,136)*(0,878219,112)*(-1,878049,110)*(-1,878049,134)*(-1,878049,98)*(-1,878049,80)*(-1,878182,54)*(-1,878091,64)*(-1,878125,544)*(-1,878128,545)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140307	10	141008	10	140401	50	140211	100
8700044	M0019_01_0303	(0,0,0)	(0,878219,694)*(0,878219,658)*(0,878219,725)*(0,878219,690)*(-1,878049,578)*(-1,878049,541)*(-1,878049,613)*(-1,878049,542)*(-1,878139,1047)*(-1,878142,1046)*(-1,878146,1048)*(-1,878149,1081)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140220	100	140230	100	140003	50	141121	20
8700045	M0013_04_0201	(0,0,0)	(0,878219,110)*(0,878219,80)*(0,878219,109)*(0,878219,172)*(-1,878049,204)*(-1,878049,171)*(-1,878049,179)*(-1,878049,149)*(-1,878156,117)*(-1,878159,154)*(-1,879012,152)*(-1,879014,121)	(0,0,0)	(0,0,0)	0	872005	-1	Y000038	0	0	140211	100	140231	100	140007	50	141111	20
8700046	M0011_01_0301	(0,0,0)	(0,878049,174)*(0,878049,172)*(0,878049,210)*(0,878049,207)*(-1,878093,186)*(-1,878093,247)*(-1,878093,69)*(-1,878093,30)*(-1,878160,107)*(-1,878164,48)*(-1,878173,212)*(-1,878174,194)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140211	100	140228	50	140227	50	141100	20
8700047	M0040_01_07	(0,0,0)	(0,878049,58)*(0,878049,79)*(0,878049,26)*(0,878049,89)*(-1,878093,66)*(-1,878093,110)*(-1,878093,98)*(-1,878093,67)*(-1,878213,46)*(-1,878207,7)*(-1,878187,38)*(-1,878184,101)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140211	100	141107	20	140226	50	140225	50
8700048	M0026_01_05	(0,0,0)	(0,878049,118)*(0,878049,120)*(0,878049,102)*(0,878049,87)*(-1,878093,89)*(-1,878093,100)*(-1,878093,107)*(-1,878093,136)*(-1,878232,139)*(-1,878237,18)*(-1,878238,11)*(-1,878239,10)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140413	10	141135	20	0	0	0	0
8700049	M0028_02_04	(0,0,0)	(0,878049,272)*(0,878049,293)*(0,878049,313)*(0,878049,357)*(-1,878093,231)*(-1,878093,252)*(-1,878093,209)*(-1,878093,211)*(-1,878240,355)*(-1,878160,229)*(-1,878164,295)*(-1,878173,315)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	187087	25	187087	25	187087	25	187087	25
8700050	M0022_01_0301	(0,0,0)	(0,878049,322)*(0,878049,325)*(0,878049,251)*(0,878049,250)*(-1,878093,269)*(-1,878093,273)*(-1,878093,256)*(-1,878093,257)*(-1,878174,268)*(-1,878184,236)*(-1,878187,237)*(-1,878207,274)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	187087	25	187087	25	187087	25	187087	25
8700051	M0003_01_0301	(0,0,0)	(0,878093,114)*(0,878093,112)*(0,878093,113)*(0,878093,135)*(-1,878049,155)*(-1,878049,53)*(-1,878240,56)*(-1,878239,116)*(-1,878238,54)*(-1,878237,55)*(-1,878232,75)*(-1,878213,76)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140211	100	140222	50	140016	50	140305	20
8700052	M0044_01_0202	(0,0,0)	(0,878093,208)*(0,878093,209)*(0,878093,161)*(0,878093,163)*(-1,878049,206)*(-1,878049,211)*(-1,878207,142)*(-1,878184,174)*(-1,878174,151)*(-1,878173,181)*(-1,878164,190)*(-1,878160,192)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140210	50	140214	50	140217	50	140219	50
8700053	M0042_02_0301	(0,0,0)	(0,878093,54)*(0,878093,123)*(0,878093,136)*(0,878093,112)*(-1,878049,110)*(-1,878049,134)*(-1,878213,98)*(-1,878232,80)*(-1,878237,54)*(-1,878238,64)*(-1,878239,544)*(-1,878240,545)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	141145	100	141145	50	140006	50	140002	100
8700054	M0019_01_0303	(0,0,0)	(0,878093,694)*(0,878093,658)*(0,878093,725)*(0,878093,690)*(-1,878049,578)*(-1,878049,541)*(-1,878160,613)*(-1,878164,542)*(-1,878173,1047)*(-1,878174,1046)*(-1,878184,1048)*(-1,878187,1081)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140229	100	140100	100	140014	50	140010	50
8700055	M0013_04_0201	(0,0,0)	(0,878093,110)*(0,878093,80)*(0,878093,109)*(0,878093,172)*(-1,878049,204)*(-1,878049,171)*(-1,878207,179)*(-1,878213,149)*(-1,878232,117)*(-1,878237,154)*(-1,878238,152)*(-1,878239,121)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140406	20	140906	20	141011	20	0	0
8700056	M0013_04_0201	(0,0,0)	(0,878093,110)*(0,878093,80)*(0,878093,109)*(0,878093,172)*(-1,878049,204)*(-1,878049,171)*(-1,878240,179)*(-1,878160,149)*(-1,878164,117)*(-1,878173,154)*(-1,878174,152)*(-1,878184,121)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	141146	100	141146	50	140411	20	140010	50
8700057	M0013_04_0201	(0,0,0)	(0,878093,110)*(0,878093,80)*(0,878093,109)*(0,878093,172)*(-1,878049,204)*(-1,878049,171)*(-1,878187,179)*(-1,878207,149)*(-1,878213,117)*(-1,878232,154)*(-1,878237,152)*(-1,878238,121)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140103	20	0	0	0	0	0	0
8700058	M0040_01_07	(0,0,0)	(0,878303,58)*(0,878303,79)*(0,878303,26)*(0,878303,89)*(-1,878304,66)*(-1,878304,110)*(-1,878304,98)*(-1,878304,67)*(-1,878016,46)*(-1,878016,7)*(-1,878017,38)*(-1,878017,101)*(-1,878035,70)*(-1,878045,16)	(0,0,0)	(0,0,0)	0	872005	-1	Y000040	0	0	140103	20	0	0	0	0	0	0
8700059	M0026_01_05	(0,0,0)	(0,878303,118)*(0,878303,120)*(0,878303,102)*(0,878303,87)*(-1,878304,89)*(-1,878304,100)*(-1,878304,107)*(-1,878304,136)*(-1,878016,139)*(-1,878016,18)*(-1,878017,11)*(-1,878017,10)*(-1,878037,9)*(-1,878243,16)	(0,0,0)	(0,0,0)	0	872005	-1	Y000015	0	0	140103	20	0	0	0	0	0	0
8700060	M0028_02_04	(0,0,0)	(0,878303,272)*(0,878303,293)*(0,878303,313)*(0,878303,357)*(-1,878304,231)*(-1,878304,252)*(-1,878304,209)*(-1,878304,211)*(-1,878016,355)*(-1,878016,229)*(-1,878017,295)*(-1,878017,315)*(-1,878245,316)*(-1,878246,336)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	141146	100	140016	50	140016	50	0	0
8700061	M0022_01_0301	(0,0,0)	(0,878303,322)*(0,878303,325)*(0,878303,251)*(0,878303,250)*(-1,878304,269)*(-1,878304,273)*(-1,878304,256)*(-1,878304,257)*(-1,878016,268)*(-1,878016,236)*(-1,878017,237)*(-1,878017,274)*(-1,878248,339)*(-1,878256,340)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	141146	100	140222	50	141176	30	140405	50
8700062	M0003_01_0301	(0,0,0)	(0,878303,114)*(0,878303,112)*(0,878303,113)*(0,878303,135)*(-1,878304,155)*(-1,878304,53)*(-1,878304,56)*(-1,878304,116)*(-1,878016,54)*(-1,878016,55)*(-1,878017,75)*(-1,878017,76)*(-1,878260,97)*(-1,878261,194)	(0,0,0)	(0,0,0)	0	872005	-1	Y000026	0	0	140222	100	140222	50	141102	20	0	0
8700063	M0044_01_0202	(0,0,0)	(0,878304,208)*(0,878304,209)*(0,878304,161)*(0,878304,163)*(-1,878016,206)*(-1,878016,211)*(-1,878016,142)*(-1,878016,174)*(-1,878017,151)*(-1,878017,181)*(-1,878017,190)*(-1,878017,192)*(-1,878270,194)*(-1,878315,196)	(0,0,0)	(0,0,0)	0	872005	-1	Y000026	0	0	140709	20	140214	50	140217	50	140210	50
8700064	M0042_02_0301	(0,0,0)	(0,878304,54)*(0,878304,123)*(0,878304,136)*(0,878304,112)*(-1,878016,110)*(-1,878016,134)*(-1,878016,98)*(-1,878016,80)*(-1,878017,54)*(-1,878017,64)*(-1,878017,544)*(-1,878017,545)*(-1,878316,546)*(-1,879007,580)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140118	30	140109	10	140412	10	0	0
8700065	M0019_01_0303	(0,0,0)	(0,878304,694)*(0,878304,658)*(0,878304,725)*(0,878304,690)*(-1,878016,578)*(-1,878016,541)*(-1,878016,613)*(-1,878016,542)*(-1,878017,1047)*(-1,878017,1046)*(-1,878017,1048)*(-1,878017,1081)*(-1,879009,1082)*(-1,879011,1083)	(0,0,0)	(0,0,0)	0	872005	-1	Y000015	0	0	187087	25	187087	25	187087	25	187087	25
8700066	M0013_04_0201	(0,0,0)	(0,878304,110)*(0,878304,80)*(0,878304,109)*(0,878304,172)*(-1,878016,204)*(-1,878016,171)*(-1,878016,179)*(-1,878016,149)*(-1,878017,117)*(-1,878017,154)*(-1,878017,152)*(-1,878017,121)*(-1,100019,183)*(-1,100026,215)	(0,0,0)	(0,0,0)	0	872005	-1	Y000032	0	0	141145	100	140006	50	140002	100	141141	20
8700067	M0040_01_07	(0,0,0)	(0,878304,58)*(0,878304,79)*(0,878304,26)*(0,878304,89)*(-1,878016,66)*(-1,878016,110)*(-1,878016,98)*(-1,878016,67)*(-1,878017,46)*(-1,878017,7)*(-1,878017,38)*(-1,878017,101)*(-1,100027,70)*(-1,100028,16)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140409	30	141019	20	140312	20	0	0
8700068	M0026_01_05	(0,0,0)	(0,878016,118)*(0,878016,120)*(0,878016,102)*(0,878016,87)*(-1,878017,89)*(-1,878017,100)*(-1,878017,107)*(-1,878017,136)*(-1,878063,139)*(-1,878063,18)*(-1,878063,11)*(-1,100029,10)*(-1,100030,9)*(-1,100031,16)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140008	100	140008	50	141136	20	0	0
8700069	M0028_02_04	(0,0,0)	(0,878016,272)*(0,878016,293)*(0,878016,313)*(0,878016,357)*(-1,878017,231)*(-1,878017,252)*(-1,878017,209)*(-1,878017,211)*(-1,878063,355)*(-1,878063,229)*(-1,878063,295)*(-1,878315,315)*(-1,878316,316)*(-1,879007,336)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140016	100	140211	100	140222	50	141142	20
8700070	M0022_01_0301	(0,0,0)	(0,878016,322)*(0,878016,325)*(0,878016,251)*(0,878016,250)*(-1,878017,269)*(-1,878017,273)*(-1,878017,256)*(-1,878017,257)*(-1,878063,268)*(-1,878063,236)*(-1,878063,237)*(-1,879009,274)*(-1,879011,339)*(-1,100019,340)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140409	30	141019	20	140312	20	0	0
8700071	M0003_01_0301	(0,0,0)	(0,878016,114)*(0,878016,112)*(0,878016,113)*(0,878016,135)*(-1,878017,155)*(-1,878017,53)*(-1,878017,56)*(-1,878017,116)*(-1,878063,54)*(-1,878063,55)*(-1,878063,75)*(-1,100026,76)*(-1,100027,97)*(-1,100028,194)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	140407	20	140211	100	140226	100	140211	100
8700072	M0044_01_0202	(0,0,0)	(0,878016,208)*(0,878016,209)*(0,878016,161)*(0,878016,163)*(-1,878017,206)*(-1,878017,211)*(-1,878017,142)*(-1,878017,174)*(-1,878063,151)*(-1,878063,181)*(-1,878063,190)*(-1,100029,192)*(-1,100030,194)*(-1,100031,196)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140307	30	141008	30	140401	100	140211	100
8700073	M0042_02_0301	(0,0,0)	(0,878017,54)*(0,878017,123)*(0,878017,136)*(0,878017,112)*(-1,878063,110)*(-1,878063,134)*(-1,878063,98)*(-1,878063,80)*(-1,878303,54)*(-1,878304,64)*(-1,878315,544)*(-1,878316,545)*(-1,879007,546)*(-1,879009,580)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	140211	100	140225	50	140403	20	141000	50
8700074	M0019_01_0303	(0,0,0)	(0,878017,694)*(0,878017,658)*(0,878017,725)*(0,878017,690)*(-1,878063,578)*(-1,878063,541)*(-1,878063,613)*(-1,878063,542)*(-1,878303,1047)*(-1,878304,1046)*(-1,879011,1048)*(-1,100019,1081)*(-1,100026,1082)*(-1,100027,1083)	(0,0,0)	(0,0,0)	0	872005	-1	Y000038	0	0	140211	100	140223	50	140402	20	141000	50
