#关卡编号	关卡名称	战斗编号	关卡种类	分歧编号	是否重复任务	出现机率权重	显示条件	进入条件	关闭条件	限制回合	关卡图标位置	关卡说明	限定角色	经验奖励	威望奖励	金钱奖励	道具奖励	战前对话
#Number	Name	Battle Area	Type	iGroup	iRepeat	Weights	Display	Enter	Close	Round	Location	Desc	Shaq	EXP	Fame	Money	Item	BeTalk
100012	罗王袭蛟龙困浅滩	8700012	1	0	0	0	(25,100011,0,0)	0	0	0	100012	无名老者的出现打乱了酆都的计划，鬼众大败而回，就在众人于铁叉部休生养息之时，却接到了返航的黑冢军势趁虚而入，袭击东海分舵的消息。面对这突如其来的危机，阎罗下令阿傍留守铁叉部医治伤员，自己则亲率剩余部众奔赴东海分舵…	0	0	0	800	141011,140011,140000	0
100013	援马面鬼王战倭王	8700013	1	0	0	0	(25,100012,0,0)	0	0	0	100013	众人救下敖广，得知黑冢罗王已转而进攻罗煞分舵。心系帮众安危，阎罗不待修整，马不停蹄，率众驰援。鬼王与倭王，两方霸主的正面对决终于到来…	0	0	0	800	141014,140005,140000	0
100014	北遁船龙宫生疑云	8700014	1	0	0	0	(25,100013,0,0)	0	0	0	100014	阎罗闭关海外的同时，酆都各大头领亦不得闲，各自为了复原酆都实力而努力。孟婆谨记阎罗临别嘱咐，多方奔走，暗中留意帮中动静，这日，她来到了东海分舵…	0	0	0	800	141004,140225,140000	0
100015	失军械神枪会心残	8700015	1	0	0	0	(25,100014,0,0)	0	0	0	100015	东海分舵商船遭偷天换日，非同小可，奈何敌暗我明，此时尚难断定是哪股势力所为，意图又是为何。料准对方不会就此放弃，孟婆决定前往罗煞分舵等待对方下一次出手的时机…	0	0	0	800	141116,140004,140000	0
100016	深山林杀手现踪迹	8700016	1	0	0	0	(25,100015,0,0)	0	0	0	100016	正如孟婆所料，佛母一去不返，行踪成谜，意图对酆都不利之心已昭然若揭，不单是削弱酆都的实力，更企图挑拨酆都与天龙教间的冲突。然而在展开追踪之前，铁叉分舵却传来了帮众失踪的消息，孟婆心下怀疑此事或与佛母有关，决定带着黑白无常前往失踪地点进行调查…	0	0	0	800	140803,140233,140000	0
100017	赛王府图穷匕首现	8700017	1	0	0	0	(25,100016,0,0)	0	0	0	100017	与阿傍连手击退寒、尸两名杀手后，孟婆断定了欲对酆都不利的幕后黑手乃是天意城。然而天意城行事隐密，难以锁定，为了找出天意城的所在地和背后的意图，孟婆决定孤身一人潜入佛母所在的后金国打探…	0	0	0	800	141114,140224,140000	0
100018	阿鼻岛天意终难违	8700018	1	0	0	0	(25,100017,0,0)	0	0	0	100018	酆都、黑冢军势激战过后，两方元气大伤，所幸突然现身的佛母，为酆都带来了复苏的希望。与此同时，阎罗深感自身功力尚有不足，决定回归阿鼻岛，闭关修行。随着时光一点一滴地流逝，命运的转折点也将悄悄到来……	0	0	0	800	140102,140112,140000	0
100019	逆天行阎王战辟邪	8700019	1	0	0	0	(25,100018,0,0)	0	0	0	100019	天意城阴谋败露，后金舰队不得不仓促发兵，袭向阿鼻岛，孟婆、敖广、罗煞等头领紧追其后，而此时，阎罗的修练也来到最后大关，面对来袭的天意，命运是否真能被逆转？	0	0	0	800	140102,140112,140000	0
100020	图富强鬼王谋聚力-霹雳堂	8700020	1	0	0	0	(25,100019,0,0)	0	0	0	100020	霹雳堂掌握着破坏力强大的火器技术，加之地处西域，乃天龙教头号目标，消息指出天龙教将于大漠伏击自京师归来的霹雳堂…	0	0	0	800	141176,141176,141000	0
100021	图富强鬼王谋聚力-成都	8700021	1	0	0	0	(25,100020,0,0)	0	0	0	100021	天龙教近日大举进攻川蜀门派，成都城中绝刀、百草、唐门等三门，自恃有朝廷官兵为后盾，坐守城中，严阵以待，但在酆都探子暗中打探下，却发现许多形迹可疑的客商在此时混入了成都城…	0	0	0	1000	140906,140217,140000	0
100022	图富强鬼王谋聚力-青城派	8700022	1	0	0	0	(25,100021,0,0)	0	0	0	100022	青城派历史悠久，声名卓著，乃川蜀武林之中流砥柱，探子回报天龙教已攻上青城山，单凭青城派一派之力，恐难抗衡…	0	0	0	1000	140103,140230	0
100023	图富强鬼王谋聚力-兽王庄	8700023	1	0	0	0	(25,100022,0,0)	0	0	0	100023	天龙教入侵川蜀，情报指出其有进攻兽王庄的意图，兽王庄豢养百兽，凶猛善战，一旦落入天龙教之手，对酆都乃是大大不利…	0	0	0	1000	141115,140005,140000	0
100024	图富强鬼王谋聚力-天山派	8700024	1	0	0	0	(25,100023,0,0)	0	0	0	100024	天山派渊远流长，虽是坐拥冰雪天险，易守难攻，然而其与天龙教比邻而居，仍是处于水深火热之中，部属至此地的探子回报了天龙教上山的消息…	0	0	0	1000	141113,140011,140000	0
100025	图富强鬼王谋聚力-海鲨帮	8700025	1	0	0	0	(25,100024,0,0)	0	0	0	100025	海鲨帮作为酆都长年的贸易伙伴，近日又与酆都谈妥了生意，分得了在东海作业的海域，然而在天龙教侵攻各大派的此刻，海鲨帮却惹上了麻烦…	0	0	0	1000	140712,140004,140000	0
100026	图富强鬼王谋聚力-洛阳	8700026	1	0	0	0	(25,100025,0,0)	0	0	0	100026	面对天龙教和酆都两方的大动作，正派召开武林大会商讨对策，决议与朝廷合作，共抗天龙教与酆都，成为了第三方势力。然而河洛大侠江天雄却在会中反对与酆都为敌，并暗中邀请酆都入洛阳城，协助抗击天龙教…	0	0	0	1000	140312,140014,140000	0
100027	图富强鬼王谋聚力-南少林	8700027	1	0	0	0	(25,100026,0,0)	0	0	0	100027	武林大会后，正派已决议与朝廷合作，共抗天龙教、酆都等两大帮派，然而其中亦不乏对此抱持不同看法的名门正派…	0	0	0	1000	140012,140008	0
100028	图富强鬼王谋聚力-杭州	8700028	1	0	0	0	(25,100027,0,0)	0	0	0	100028	天龙教、酆都双雄并起，俨然有侵吞天下之势，为求局势稳定，朝廷锦衣卫也大举展开行动，肃清其他潜在的反叛势力。数日之前，诚王意外死于王府之中，令杭州城百姓人心惶惶；亦有为数不少的乞丐在此时刻混入杭州城中，似是在等待着什么…	0	0	0	1000	140012,140005	0
100029	辟邪宫酆都灭天意	8700029	1	0	0	0	(25,100028,0,0)	0	0	0	100029	天龙教、酆都大举行动以来，各大派或遭屠戮，或遭收编，仅存正派如今归于锦衣卫指挥，势力划分已是大局底定，三方彼此都在等待渔翁得利的机会，而由神秘老者率领的天意城亦在背后虎视眈眈，此刻掌握天意城位置的阎丹生决意先下手为强。	0	0	0	1000	140012,140102,,140005	0
100030	正世道天下终归一	8700030	1	0	0	0	(25,100029,0,0)	0	0	0	100030	酆都甫灭天意城之际，由锦衣卫指挥使游进所率领的正派联盟出现在酆都众人眼前，意欲趁此机会，将强弩之末的酆都一举剿灭；然而在另一方面，两方势力的一举一动，也都被龙王厉苍龙看在眼里。在这最后的角力中，纷乱的天下，会由何人掌握？	0	0	0	1000	0	0
400001	龙宫训练	8710001	1	0	0	0	(25,100030,0,0)	0	0	0	400001	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	1200	0	0
400002	东海倭寇	8710002	1	0	0	0	(25,400001,0,0)	0	0	0	400002	帮主，弟兄们在东海之上发现了倭寇的踪迹，可要朝他们发起进攻？	0	0	0	1200	0	0
400003	渔民护卫	8710003	1	0	0	0	(25,400002,0,0)	0	0	0	400003	帮主，海上作业的渔民们发现有大批倭寇逼近，请求咱们的支持！	0	0	0	1200	0	0
400004	商路护卫	8710004	1	0	0	0	(25,400003,0,0)	0	0	0	400004	帮主，咱们手底下的商贩准备出发运送一批高价货物，担心路上不平静，还请帮主派遣护卫随行！	0	0	0	1200	0	0
400005	渡口侵袭	8710005	1	0	0	0	(25,400004,0,0)	0	0	0	400005	帮主！渡口遭遇倭寇侵袭，渔民们请求我等前往抵御！	0	0	0	1200	0	0
400006	神枪训练	8710006	1	0	0	0	(25,400005,0,0)	0	0	0	400006	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	1200	0	0
400007	官兵来袭	8710007	1	0	0	0	(25,400006,0,0)	0	0	0	400007	帮主！弟兄们探得官兵集结于山下，要朝咱们发起突袭，帮主若能领着弟兄们将其击退，肯定能提振大伙的士气！	0	0	0	1200	0	0
400008	长虹镖车	8710008	1	0	0	0	(25,400007,0,0)	0	0	0	400008	帮主，咱们截获消息，近日长虹镖局保得一车官银会经过此处，全都是那些个贪官污吏剥削的民脂民膏，咱们可要将其截下？	0	0	0	1200	0	0
400009	金风镖车	8710009	1	0	0	0	(25,400008,0,0)	0	0	0	400009	帮主，咱们截获消息，近日金风镖局保得一车官银会经过此处，全都是那些个贪官污吏剥削的民脂民膏，咱们可要将其截下？	0	0	0	1200	0	0
400010	深山巡狩	8710010	1	0	0	0	(25,400009,0,0)	0	0	0	400010	帮主，老百姓们回报最近山上有许多野兽出没，弟兄们想趁此机会到山中打些野味，顺道为民除害！	0	0	0	1200	0	0
400011	军械拦截	8710011	1	0	0	0	(25,400010,0,0)	0	0	0	400011	帮主，探子们回报西湖铸剑山庄近日将运送一批新造军械入京，若是让官兵得到了这批军械，势必对我等不利，是否要将其截下了？	0	0	0	1500	0	0
400012	丐帮冲突	8710012	1	0	0	0	(25,400011,0,0)	0	0	0	400012	帮主，弟兄们在杭州城街上和一群乞丐起了冲突，咱们快赶去助阵！	0	0	0	1500	0	0
400013	朝廷水师	8710013	1	0	0	0	(25,400012,0,0)	0	0	0	400013	帮主，哨探发现了朝廷前来讨伐我等的舰队，若帮主能带领大伙迎击，势必能够提振帮众的士气！	0	0	0	1500	0	0
400014	少林讨伐	8710014	1	0	0	0	(25,400013,0,0)	0	0	0	400014	帮主，有群少林寺的秃驴上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	1500	0	0
400015	武当讨伐	8710015	1	0	0	0	(25,400014,0,0)	0	0	0	400015	帮主，有群武当派的牛鼻子上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	1500	0	0
400016	华山讨伐	8710016	1	0	0	0	(25,400015,0,0)	0	0	0	400016	帮主，有群华山派的浪荡子上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	1500	0	0
400017	天剑讨伐	8710017	1	0	0	0	(25,400016,0,0)	0	0	0	400017	帮主，有群天剑门的无赖上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	1500	0	0
400018	肃清叛徒	8710018	1	0	0	0	(25,400017,0,0)	0	0	0	400018	帮主，孟大人发现帮中有数名阳奉阴违的叛徒，暗中将武库里的军械盗走后准备向朝廷投诚！判官大人已经先行前往拦截，绝对不能让他们溜了！	0	0	0	1500	0	0
400019	鬼众训练	8710019	1	0	0	0	(25,400018,0,0)	0	0	0	400019	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	1500	0	0
400020	铁叉训练	8710020	1	0	0	0	(25,400019,0,0)	0	0	0	400020	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	1500	0	0
400021	天龙侵袭	8710021	1	0	0	0	(25,400020,0,0)	0	0	0	400021	帮主，铁叉部周围残余的天龙教余党又开始威胁苗人们的安全了，还请帮主派出援手，击退他们！	0	0	0	1800	0	0
400022	绝刀讨伐	8710022	1	0	0	0	(25,400021,0,0)	0	0	0	400022	帮主，有群绝刀门的小伙上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	1800	0	0
400023	青城讨伐	8710023	1	0	0	0	(25,400022,0,0)	0	0	0	400023	帮主，有群青城派的小道士上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	1800	0	0
400024	虫草摘采	8710024	1	0	0	0	(25,400023,0,0)	0	0	0	400024	帮主，阿傍大人发现了一处珍稀的药草地，可是却有一帮百草门的采药人跑来想和咱们抢地盘！	0	0	0	1800	0	0
400025	沐王侵攻	8710025	1	0	0	0	(25,400024,0,0)	0	0	0	400025	帮主，探子回报在野林中发现了沐王府搜查我等的侦查队，趁着人数还不多，一举将之歼灭吧！	0	0	0	1800	0	0
400026	暗部侵袭	8710026	1	0	0	0	(25,400025,0,0)	0	0	0	400026	帮主，铁叉分舵周遭发现了黑冢倭贼的爪牙，似是想趁机袭击咱们留在后头的伤员，请帮主派人协防！	0	0	0	1800	0	0
400027	真假龙宫	8710027	1	0	0	0	(25,400026,0,0)	0	0	0	400027	敖舵主，按照您的指示，咱们揪出了不少可疑的帮众，本待将他们押至地牢，可他们却突然发难，展开了攻击，请敖舵主率众驰援！	0	0	0	1800	0	0
400028	真假神枪	8710028	1	0	0	0	(25,400027,0,0)	0	0	0	400028	罗舵主，按照孟大人传来的指示，咱们揪出了不少可疑的帮众，本待将他们押至地牢，可他们却突然发难，展开了攻击，请罗舵主率众驰援！	0	0	0	1800	0	0
400029	后金叛乱	8710029	1	0	0	0	(25,400028,0,0)	0	0	0	400029	舵主，正如孟大人所料，后金国来的那些东北狗听闻咱们要开始捉捕他们，马脚便露了出来，开始对咱们发起攻击了，请舵主迅速驰援镇压！	0	0	0	1800	0	0
400030	天意刺客	8710030	1	0	0	0	(25,400029,0,0)	0	0	0	400030	有刺客尾随！保护帮主！	0	0	0	1800	0	0
400031	护卫霹雳	8710031	1	0	0	0	(25,400030,0,0)	0	0	0	400031	帮主，霹雳堂秦堂主传来求援的请求，天龙教又对霹雳堂的车队发起一波新的攻击了！	0	0	0	2000	0	0
400032	护卫天山	8710032	1	0	0	0	(25,400031,0,0)	0	0	0	400032	帮主，天山派何掌门传来求援的请求，天龙教又对天山派发起一波新的攻击了！	0	0	0	2000	0	0
400033	俘虏救助	8710033	1	0	0	0	(25,400032,0,0)	0	0	0	400033	帮主，成都城内传来还有帮众，以及绝刀门和百草门的门人困于其中的消息，得尽快将弟兄们救出！	0	0	0	2000	0	0
400034	海鲨巡守	8710034	1	0	0	0	(25,400033,0,0)	0	0	0	400034	帮主，熊帮主的海鲨帮在东海作业时遭遇倭寇余孽，请咱们派遣人手相援！	0	0	0	2000	0	0
400035	野兽训练	8710035	1	0	0	0	(25,400034,0,0)	0	0	0	400035	老大，咱们新训练了一批野兽，您可要亲自试试牠们？	0	0	0	2000	0	0
400036	护卫青城	8710036	1	0	0	0	(25,400035,0,0)	0	0	0	400036	帮主，青霞子道长回报，青城山附近再度发现天龙教的踪迹，请求我等派遣支持！	0	0	0	2000	0	0
400037	锦衣袭击	8710037	1	0	0	0	(25,400036,0,0)	0	0	0	400037	是朝廷派来的锦衣卫！保护帮主！	0	0	0	2000	0	0
400038	护卫莆田	8710038	1	0	0	0	(25,400037,0,0)	0	0	0	400038	帮主，聂大人传来消息，南少林再度受到了天龙教的袭击，此外朝廷官兵亦在此刻发动攻击，我等当尽速驰援南少林！	0	0	0	2000	0	0
400039	天龙刺探	8710039	1	0	0	0	(25,400038,0,0)	0	0	0	400039	帮主，陈公公手下的东厂杀手替我等探得了天龙教的情报，但撤退途中不慎被发现，需要我等接应支持！	0	0	0	2000	0	0
400040	火炮夺取	8710040	1	0	0	0	(25,400039,0,0)	0	0	0	400040	帮主，陈公公手下的东厂杀手替我等盗得了数门朝廷火炮，但撤退途中不慎被发现，需要我等接应支持！	0	0	0	2000	0	0
400041	商路护卫	8710041	1	0	0	0	(25,400040,0,0)	0	0	0	400004	帮主，咱们手底下的商贩准备出发运送一批高价货物，担心路上不平静，还请帮主派遣护卫随行！	0	0	0	2200	0	0
400042	官兵来袭	8710042	1	0	0	0	(25,400041,0,0)	0	0	0	400007	帮主！弟兄们探得官兵集结于山下，要朝咱们发起突袭，帮主若能领着弟兄们将其击退，肯定能提振大伙的士气！	0	0	0	2200	0	0
400043	长虹镖车	8710043	1	0	0	0	(25,400042,0,0)	0	0	0	400008	帮主，咱们截获消息，近日长虹镖局保得一车官银会经过此处，全都是那些个贪官污吏剥削的民脂民膏，咱们可要将其截下？	0	0	0	2200	0	0
400044	金风镖车	8710044	1	0	0	0	(25,400043,0,0)	0	0	0	400009	帮主，咱们截获消息，近日金风镖局保得一车官银会经过此处，全都是那些个贪官污吏剥削的民脂民膏，咱们可要将其截下？	0	0	0	2200	0	0
400045	深山巡狩	8710045	1	0	0	0	(25,400044,0,0)	0	0	0	400010	帮主，老百姓们回报最近山上有许多野兽出没，弟兄们想趁此机会到山中打些野味，顺道为民除害！	0	0	0	2200	0	0
400046	军械拦截	8710046	1	0	0	0	(25,400045,0,0)	0	0	0	400011	帮主，探子们回报西湖铸剑山庄近日将运送一批新造军械入京，若是让官兵得到了这批军械，势必对我等不利，是否要将其截下了？	0	0	0	2200	0	0
400047	朝廷水师	8710047	1	0	0	0	(25,400046,0,0)	0	0	0	400013	帮主，哨探发现了朝廷前来讨伐我等的舰队，若帮主能带领大伙迎击，势必能够提振帮众的士气！	0	0	0	2200	0	0
400048	少林讨伐	8710048	1	0	0	0	(25,400047,0,0)	0	0	0	400014	帮主，有群少林寺的秃驴上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2200	0	0
400049	武当讨伐	8710049	1	0	0	0	(25,400048,0,0)	0	0	0	400015	帮主，有群武当派的牛鼻子上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2200	0	0
400050	华山讨伐	8710050	1	0	0	0	(25,400049,0,0)	0	0	0	400016	帮主，有群华山派的浪荡子上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2200	0	0
400051	天剑讨伐	8710051	1	0	0	0	(25,400050,0,0)	0	0	0	400017	帮主，有群天剑门的无赖上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2500	0	0
400052	救援猎人	8710052	1	0	0	0	(25,400051,0,0)	0	0	0	400041	帮主，探子发现了几名兽王庄的猎人在深山中碰上了天龙教的人马，咱们是否要出手相救？	0	0	0	2500	0	0
500001	龙宫训练	8710001	1	0	0	0	(25,400052,0,0)	0	0	0	400001	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	2500	0	0
500002	东海倭寇	8710002	1	0	0	0	(25,500001,0,0)	0	0	0	400002	帮主，弟兄们在东海之上发现了倭寇的踪迹，可要朝他们发起进攻？	0	0	0	2500	0	0
500003	渔民护卫	8710003	1	0	0	0	(25,500002,0,0)	0	0	0	400003	帮主，海上作业的渔民们发现有大批倭寇逼近，请求咱们的支持！	0	0	0	2500	0	0
500004	商路护卫	8710041	1	0	0	0	(25,500003,0,0)	0	0	0	400004	帮主，咱们手底下的商贩准备出发运送一批高价货物，担心路上不平静，还请帮主派遣护卫随行！	0	0	0	2500	0	0
500005	渡口侵袭	8710005	1	0	0	0	(25,500004,0,0)	0	0	0	400005	帮主！渡口遭遇倭寇侵袭，渔民们请求我等前往抵御！	0	0	0	2500	0	0
500006	神枪训练	8710006	1	0	0	0	(25,500005,0,0)	0	0	0	400006	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	2500	0	0
500007	官兵来袭	8710042	1	0	0	0	(25,500006,0,0)	0	0	0	400007	帮主！弟兄们探得官兵集结于山下，要朝咱们发起突袭，帮主若能领着弟兄们将其击退，肯定能提振大伙的士气！	0	0	0	2500	0	0
500008	长虹镖车	8710043	1	0	0	0	(25,500007,0,0)	0	0	0	400008	帮主，咱们截获消息，近日长虹镖局保得一车官银会经过此处，全都是那些个贪官污吏剥削的民脂民膏，咱们可要将其截下？	0	0	0	2500	0	0
500009	金风镖车	8710044	1	0	0	0	(25,500008,0,0)	0	0	0	400009	帮主，咱们截获消息，近日金风镖局保得一车官银会经过此处，全都是那些个贪官污吏剥削的民脂民膏，咱们可要将其截下？	0	0	0	2800	0	0
500010	深山巡狩	8710045	1	0	0	0	(25,500009,0,0)	0	0	0	400010	帮主，老百姓们回报最近山上有许多野兽出没，弟兄们想趁此机会到山中打些野味，顺道为民除害！	0	0	0	2800	0	0
500011	军械拦截	8710046	1	0	0	0	(25,500010,0,0)	0	0	0	400011	帮主，探子们回报西湖铸剑山庄近日将运送一批新造军械入京，若是让官兵得到了这批军械，势必对我等不利，是否要将其截下了？	0	0	0	2800	0	0
500012	丐帮冲突	8710012	1	0	0	0	(25,500011,0,0)	0	0	0	400012	帮主，弟兄们在杭州城街上和一群乞丐起了冲突，咱们快赶去助阵！	0	0	0	2800	0	0
500013	朝廷水师	8710047	1	0	0	0	(25,500012,0,0)	0	0	0	400013	帮主，哨探发现了朝廷前来讨伐我等的舰队，若帮主能带领大伙迎击，势必能够提振帮众的士气！	0	0	0	2800	0	0
500014	少林讨伐	8710048	1	0	0	0	(25,500013,0,0)	0	0	0	400014	帮主，有群少林寺的秃驴上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2800	0	0
500015	武当讨伐	8710049	1	0	0	0	(25,500014,0,0)	0	0	0	400015	帮主，有群武当派的牛鼻子上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2800	0	0
500016	华山讨伐	8710050	1	0	0	0	(25,500015,0,0)	0	0	0	400016	帮主，有群华山派的浪荡子上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2800	0	0
500017	天剑讨伐	8710051	1	0	0	0	(25,500016,0,0)	0	0	0	400017	帮主，有群天剑门的无赖上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	2800	0	0
500018	肃清叛徒	8710018	1	0	0	0	(25,500017,0,0)	0	0	0	400018	帮主，孟大人发现帮中有数名阳奉阴违的叛徒，暗中将武库里的军械盗走后准备向朝廷投诚！判官大人已经先行前往拦截，绝对不能让他们溜了！	0	0	0	2800	0	0
500019	鬼众训练	8710019	1	0	0	0	(25,500018,0,0)	0	0	0	400019	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	3000	0	0
500020	铁叉训练	8710020	1	0	0	0	(25,500019,0,0)	0	0	0	400020	帮主！新招收的一批弟兄们已准备好实战训练了！	0	0	0	3000	0	0
500021	天龙侵袭	8710021	1	0	0	0	(25,500020,0,0)	0	0	0	400021	帮主，铁叉部周围残余的天龙教余党又开始威胁苗人们的安全了，还请帮主派出援手，击退他们！	0	0	0	3000	0	0
500022	绝刀讨伐	8710022	1	0	0	0	(25,500021,0,0)	0	0	0	400022	帮主，有群绝刀门的小伙上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	3000	0	0
500023	青城讨伐	8710023	1	0	0	0	(25,500022,0,0)	0	0	0	400023	帮主，有群青城派的小道士上门踢馆，要将弟兄们捉去官府，让他们见识见识咱们的厉害吧！	0	0	0	3000	0	0
500024	虫草摘采	8710024	1	0	0	0	(25,500023,0,0)	0	0	0	400024	帮主，阿傍大人发现了一处珍稀的药草地，可是却有一帮百草门的采药人跑来想和咱们抢地盘！	0	0	0	3000	0	0
500025	沐王侵攻	8710025	1	0	0	0	(25,500024,0,0)	0	0	0	400025	帮主，探子回报在野林中发现了沐王府搜查我等的侦查队，趁着人数还不多，一举将之歼灭吧！	0	0	0	3000	0	0
500026	暗部侵袭	8710026	1	0	0	0	(25,500025,0,0)	0	0	0	400026	帮主，铁叉分舵周遭发现了黑冢倭贼的爪牙，似是想趁机袭击咱们留在后头的伤员，请帮主派人协防！	0	0	0	3000	0	0
