#Number	Name	Battle Area	Type	iGroup	iRepeat	Weights	Display	Enter	Close	Round	Location	Desc	Shaq	EXP	Fame	Money	Item	BeTalk
#关卡编号	关卡名称	战斗编号	关卡种类	分歧编号	是否重复任务	出现机率权重	显示条件	进入条件	关闭条件	限制回合	关卡图标位置	关卡说明	限定角色	经验奖励	威望奖励	金钱奖励	道具奖励	战前对话
400002	挑战32	8700032	1	0	1	0	(25,400001,0,0)	0	0	0	400002		0	1000	1	500	140213,140214	0
400003	挑战33	8700033	1	0	1	0	(25,400002,0,0)	0	0	0	400003		0	1000	1	500	140211,140016	0
400004	挑战34	8700034	1	0	1	0	(25,400003,0,0)	0	0	0	400004		0	1000	1	500	140211,140016	0
400005	挑战35	8700035	1	0	1	0	(25,400004,0,0)	0	0	0	400005		0	1000	1	500	140004,140216	0
400006	挑战36	8700036	1	0	1	0	(25,400005,0,0)	0	0	0	400006		0	1000	1	500	140004,140216	0
400007	挑战37	8700037	1	0	1	0	(25,400006,0,0)	0	0	0	400007		0	1000	1	500	140006,140217	0
400008	挑战38	8700038	1	0	1	0	(25,400007,0,0)	0	0	0	400008		0	1000	1	500	140006,140217	0
400009	挑战39	8700039	1	0	1	0	(25,400008,0,0)	0	0	0	400009		0	1000	1	500	140007,140219	0
400010	挑战40	8700040	1	0	1	0	(25,400009,0,0)	0	0	0	400010		0	1000	1	500	140007,140219	0
400011	挑战41	8700041	1	0	1	0	(25,400010,0,0)	0	0	0	400011		0	1000	1	550	140013,140221	0
400012	挑战42	8700042	1	0	1	0	(25,400011,0,0)	0	0	0	400012		0	1000	1	550	140013,140221	0
400013	挑战43	8700043	1	0	1	0	(25,400012,0,0)	0	0	0	400013		0	1000	1	550	140014,140225	0
400014	挑战44	8700044	1	0	1	0	(25,400013,0,0)	0	0	0	400014		0	1000	1	550	140014,140225	0
400015	挑战45	8700045	1	0	1	0	(25,400014,0,0)	0	0	0	400015		0	1000	1	550	140015,140226	0
400016	挑战46	8700046	1	0	1	0	(25,400015,0,0)	0	0	0	400016		0	1000	1	550	140015,140226	0
400017	挑战47	8700047	1	0	1	0	(25,400016,0,0)	0	0	0	400017		0	1000	1	550	140008,140227	0
400018	挑战48	8700048	1	0	1	0	(25,400017,0,0)	0	0	0	400018		0	1000	1	550	140008,140227	0
400019	挑战49	8700049	1	0	1	0	(25,400018,0,0)	0	0	0	400019		0	1000	1	550	140003,140016	0
400020	挑战50	8700050	1	0	1	0	(25,400019,0,0)	0	0	0	400020		0	1000	1	550	140003,140016	0
400021	挑战51	8700051	1	0	1	0	(25,400020,0,0)	0	0	0	400021		0	1000	1	600	140004,140017	0
400022	挑战52	8700052	1	0	1	0	(25,400021,0,0)	0	0	0	400022		0	1000	1	600	140004,140017	0
400023	挑战53	8700053	1	0	1	0	(25,400022,0,0)	0	0	0	400023		0	1000	1	600	140006,140101	0
400024	挑战54	8700054	1	0	1	0	(25,400023,0,0)	0	0	0	400024		0	1000	1	600	140006,140101	0
400025	挑战55	8700055	1	0	1	0	(25,400024,0,0)	0	0	0	400025		0	1000	1	600	140007,140102	0
400026	挑战56	8700056	1	0	1	0	(25,400025,0,0)	0	0	0	400026		0	1000	1	600	140007,140102	0
400027	挑战57	8700057	1	0	1	0	(25,400026,0,0)	0	0	0	400027		0	1000	1	600	140011,140209	0
400028	挑战58	8700058	1	0	1	0	(25,400027,0,0)	0	0	0	400028		0	1000	1	600	140011,140209	0
400029	挑战59	8700059	1	0	1	0	(25,400028,0,0)	0	0	0	400029		0	1000	1	600	140005,140227	0
400030	挑战60	8700060	1	0	1	0	(25,400029,0,0)	0	0	0	400030		0	1000	1	600	140005,140227	0
400031	挑战61	8700061	1	0	1	0	(25,400030,0,0)	0	0	0	400031		0	1000	1	650	140213,140214	0
400032	挑战62	8700062	1	0	1	0	(25,400031,0,0)	0	0	0	400032		0	1000	1	650	140213,140214	0
400033	挑战63	8700063	1	0	1	0	(25,400032,0,0)	0	0	0	400033		0	1000	1	650	140211,140016	0
400034	挑战64	8700064	1	0	1	0	(25,400033,0,0)	0	0	0	400034		0	1000	1	650	140211,140016	0
400035	挑战65	8700065	1	0	1	0	(25,400034,0,0)	0	0	0	400035		0	1000	1	650	140004,140216	0
400036	挑战66	8700066	1	0	1	0	(25,400035,0,0)	0	0	0	400036		0	1000	1	650	140004,140216	0
400037	挑战67	8700067	1	0	1	0	(25,400036,0,0)	0	0	0	400037		0	1000	1	650	140006,140217	0
400038	挑战68	8700068	1	0	1	0	(25,400037,0,0)	0	0	0	400038		0	1000	1	650	140006,140217	0
400039	挑战69	8700069	1	0	1	0	(25,400038,0,0)	0	0	0	400039		0	1000	1	650	140007,140219	0
400040	挑战70	8700070	1	0	1	0	(25,400039,0,0)	0	0	0	400040		0	1000	1	650	140007,140219	0
400041	挑战71	8700071	1	0	1	0	(25,400040,0,0)	0	0	0	400004		0	1000	1	700	140013,140221	0
400042	挑战72	8700072	1	0	1	0	(25,400041,0,0)	0	0	0	400007		0	1000	1	700	140013,140221	0
400043	挑战73	8700073	1	0	1	0	(25,400042,0,0)	0	0	0	400008		0	1000	1	700	140014,140225	0
400044	挑战74	8700074	1	0	1	0	(25,400043,0,0)	0	0	0	400009		0	1000	1	700	140014,140225	0
400045	挑战75	8700075	1	0	1	0	(25,400044,0,0)	0	0	0	400010		0	1000	1	700	140015,140226	0
400046	挑战76	8700076	1	0	1	0	(25,400045,0,0)	0	0	0	400011		0	1000	1	700	140015,140226	0
400047	挑战77	8700077	1	0	1	0	(25,400046,0,0)	0	0	0	400013		0	1000	1	700	140008,140227	0
400048	挑战78	8700078	1	0	1	0	(25,400047,0,0)	0	0	0	400014		0	1000	1	700	140008,140227	0
400049	挑战79	8700079	1	0	1	0	(25,400048,0,0)	0	0	0	400015		0	1000	1	700	140003,140016	0
400050	挑战80	8700080	1	0	1	0	(25,400049,0,0)	0	0	0	400016		0	1000	1	700	140003,140016	0
400051	挑战81	8700081	1	0	1	0	(25,400050,0,0)	0	0	0	400017		0	1000	1	750	140004,140017	0
400052	挑战82	8700082	1	0	1	0	(25,400051,0,0)	0	0	0	400041		0	1000	1	750	140004,140017	0
500001	挑战83	8700083	1	0	1	0	(25,400052,0,0)	0	0	0	400001		0	1000	1	750	140006,140101	0
500002	挑战84	8700084	1	0	1	0	(25,500001,0,0)	0	0	0	400002		0	1000	1	750	140006,140101	0
500003	挑战85	8700085	1	0	1	0	(25,500002,0,0)	0	0	0	400003		0	1000	1	750	140007,140102	0
500004	挑战86	8700086	1	0	1	0	(25,500003,0,0)	0	0	0	400004		0	1000	1	750	140007,140102	0
500005	挑战87	8700087	1	0	1	0	(25,500004,0,0)	0	0	0	400005		0	1000	1	750	140011,140209	0
500006	挑战88	8700088	1	0	1	0	(25,500005,0,0)	0	0	0	400006		0	1000	1	750	140011,140209	0
500007	挑战89	8700089	1	0	1	0	(25,500006,0,0)	0	0	0	400007		0	1000	1	750	140005,140227	0
500008	挑战90	8700090	1	0	1	0	(25,500007,0,0)	0	0	0	400008		0	1000	1	750	140005,140227	0
500009	挑战91	8700091	1	0	1	0	(25,500008,0,0)	0	0	0	400009		0	1000	1	800	140213,140214	0
500010	挑战92	8700092	1	0	1	0	(25,500009,0,0)	0	0	0	400010		0	1000	1	800	140213,140214	0
500011	挑战93	8700093	1	0	1	0	(25,500010,0,0)	0	0	0	400011		0	1000	1	800	140211,140016	0
500012	挑战94	8700094	1	0	1	0	(25,500011,0,0)	0	0	0	400012		0	1000	1	800	140211,140016	0
500013	挑战95	8700095	1	0	1	0	(25,500012,0,0)	0	0	0	400013		0	1000	1	800	140004,140216	0
500014	挑战96	8700096	1	0	1	0	(25,500013,0,0)	0	0	0	400014		0	1000	1	800	140004,140216	0
500015	挑战97	8700097	1	0	1	0	(25,500014,0,0)	0	0	0	400015		0	1000	1	800	140006,140217	0
500016	挑战98	8700098	1	0	1	0	(25,500015,0,0)	0	0	0	400016		0	1000	1	800	140006,140217	0
500017	挑战99	8700099	1	0	1	0	(25,500016,0,0)	0	0	0	400017		0	1000	1	800	140007,140219	0
500018	挑战100	8700100	1	0	1	0	(25,500017,0,0)	0	0	0	400018		0	1000	1	800	140007,140219	0
500019	挑战101	8700101	1	0	1	0	(25,500018,0,0)	0	0	0	400019		0	1000	1	850	140013,140221	0
500020	挑战102	8700102	1	0	1	0	(25,500019,0,0)	0	0	0	400020		0	1000	1	850	140013,140221	0
500021	挑战103	8700103	1	0	1	0	(25,500020,0,0)	0	0	0	400021		0	1000	1	850	140014,140225	0
500022	挑战104	8700104	1	0	1	0	(25,500021,0,0)	0	0	0	400022		0	1000	1	850	140014,140225	0
500023	挑战105	8700105	1	0	1	0	(25,500022,0,0)	0	0	0	400023		0	1000	1	850	140015,140226	0
500024	挑战106	8700106	1	0	1	0	(25,500023,0,0)	0	0	0	400024		0	1000	1	850	140015,140226	0
500025	挑战107	8700107	1	0	1	0	(25,500024,0,0)	0	0	0	400025		0	1000	1	850	140008,140227	0
500026	挑战108	8700108	1	0	1	0	(25,500025,0,0)	0	0	0	400026		0	1000	1	850	140008,140227	0
500027	挑战109	8700109	1	0	1	0	(25,500026,0,0)	0	0	0	400027		0	1000	1	850	140003,140016	0
500028	挑战110	8700110	1	0	1	0	(25,500027,0,0)	0	0	0	400028		0	1000	1	850	140003,140016	0
500029	挑战111	8700111	1	0	1	0	(25,500028,0,0)	0	0	0	400029		0	1000	1	900	140004,140017	0
500030	挑战112	8700112	1	0	1	0	(25,500029,0,0)	0	0	0	400030		0	1000	1	900	140004,140017	0
500031	挑战113	8700113	1	0	1	0	(25,500030,0,0)	0	0	0	400031		0	1000	1	900	140006,140101	0
500032	挑战114	8700114	1	0	1	0	(25,500031,0,0)	0	0	0	400032		0	1000	1	900	140006,140101	0
500033	挑战115	8700115	1	0	1	0	(25,500032,0,0)	0	0	0	400033		0	1000	1	900	140007,140102	0
500034	挑战116	8700116	1	0	1	0	(25,500033,0,0)	0	0	0	400034		0	1000	1	900	140007,140102	0
500035	挑战117	8700117	1	0	1	0	(25,500034,0,0)	0	0	0	400035		0	1000	1	900	140011,140209	0
500036	挑战118	8700118	1	0	1	0	(25,500035,0,0)	0	0	0	400036		0	1000	1	900	140011,140209	0
500037	挑战119	8700119	1	0	1	0	(25,500036,0,0)	0	0	0	400037		0	1000	1	900	140005,140227	0
500038	挑战120	8700120	1	0	1	0	(25,500037,0,0)	0	0	0	400038		0	1000	1	900	140005,140227	0
500039	挑战121	8700121	1	0	1	0	(25,500038,0,0)	0	0	0	400039		0	1000	1	950	140223,140224	0
500040	挑战122	8700122	1	0	0	0	(25,500039,0,0)	0	0	0	400040		0	1000	1	950	140223,140224	0
