#物品编号	物品名称	物品类别	物品种类	道具图示	物品描述(最多50字=10*5)断行要用<br>	买入价格	卖出价格	商店数量	堆栈数量上限	可否使用	使用时机	是否永久性增加	作用类型	参数	数值	讯息编号	作用类型	参数	数值	讯息编号	作用类型	参数	数值	讯息编号	使用物品时呼叫字符串 (显示名称用)	技艺书连结	武器类型	限制NPC	使用条件	装备tip	贩卖禁止
#iItemID	sItemName	iTtemType	iItemKind	sIcon	sTip	iItemBuy	iItemSell	iItemStack	iMixStack	iItemUse	iUseTime	iAddType	iRecover1	iArg1	iValue1	iString	iRecover2	iArg2	iValue2	iString	iRecover2	iArg3	iValue3	iString	iString	iAmsType	iLocking	sNpcLike	sUseLimit	tip	sell
140014	通犀地龙丸	4	0	i00810	恢复气血二成并解除四个负向状态，三回合内每回合解除四个负向状态。	4500	2250	2	0	1	2	1	18	0	3	0	7	100133	0	0	0	0	0	0	0	0	0	0	0	0	0
140015	玉蜂浆	4	0	i00737	一种雪白如玉的蜜蜂所产的蜂蜜，芬芳清香，服用后可回复内力四成，并获得辟毒状态。	2000	1000	2	0	1	2	0	17	0	40	0	7	500093	0	0	0	0	0	0	0	0	0	0	0	0	0
140016	青龙散	4	0	i00806	青龙散的功能可以提高暴击率、提高命中。	3000	1500	2	0	1	2	0	7	500033	0	0	7	500056	0	0	0	0	0	0	0	0	0	0	0	0	0
140017	黑蚂蚁升精丸	4	0	i00441	由秘医丘伯所研制的秘药，吃了以后力大无穷，精神无比！可以大幅度提高攻击与防御力。<br>食用效果：三回合内，输出提升20%，减伤20%	5000	2500	2	0	1	2	0	7	910036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140100	大王蛇胆	4	0	i00087	提高内力最大值一百五	2000	1000	2	0	1	1	1	1	3	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140101	怪鲶鱼	4	0	i00072	提高气血最大值四百	500	250	2	0	1	1	1	1	1	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140102	十全大补丹	4	0	i00308	提高气血最大值一百五，内力最大值一百五	6000	3000	2	0	1	1	1	1	1	150	0	1	3	150	0	0	0	0	0	0	0	0	0	0	0	0
140103	千年人参	4	0	i00734	提高气血最大值一百、内力最大值三百	10000	5000	2	0	1	1	1	1	1	100	0	1	3	300	0	0	0	0	0	0	0	0	0	0	0	0
140104	神鱼	4	0	i00070	提高气血最大值两百，内力最大值两百	500	250	2	0	1	1	1	1	1	200	0	1	3	200	0	0	0	0	0	0	0	0	0	0	0	0
140105	草鱼	4	0	i00066	因生性食草而得名，为常见的溪流鱼类。	200	100	2	0	1	1	1	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140106	青鱼	4	0	i00067	因生长速度快的大型鱼类，鱼体近黑色，喜欢躲在急流下的岩石后，或深水区。	350	175	2	0	1	1	1	1	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140107	鲤鱼	4	0	i00068	在鱼类中属好动型，喜跃出水面蹦跳，民间自古就有鲤跃龙门的传说。	800	400	2	0	1	1	1	1	1	30	0	1	3	10	0	0	0	0	0	0	0	0	0	0	0	0
140108	虹鲤	4	0	i00069	鲤鱼中非常稀有的品种，在太阳光底下，散发出耀眼的光芒。	5000	2500	2	0	1	1	1	1	1	100	0	1	3	100	0	0	0	0	0	0	0	0	0	0	0	0
140109	神鱼	4	0	i00070	传说中的神鱼，色彩炫丽耀眼，肉质肥美，是少见的补品。	10000	5000	2	0	1	1	1	1	1	200	0	1	3	200	0	0	0	0	0	0	0	0	0	0	0	0
140110	鲫鱼	4	0	i00071	属杂食性鱼，一般用蚯蚓做饵即可。	1000	500	2	0	1	1	1	1	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140111	怪鲶鱼	4	0	i00072	鱼中贵族，必需在良好的水质中才可存活。因其肉质鲜嫩甜美又极为稀有，故非常珍贵。	10000	5000	2	0	1	1	1	1	1	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140112	鲢鱼	4	0	i00526	栖息于江河、水库及湖泊的上层水域，性急躁，善跳跃。属杂食性，以浮游藻类及有机碎屑为食。	2000	1000	2	0	1	1	1	1	1	50	0	1	56	3	0	0	0	0	0	0	0	0	0	0	0	0
140113	鳙鱼	4	0	i00527	鳙鱼具有洄游习性，平时多生活在有一定流速的水中。	2000	1000	2	0	1	1	1	1	1	50	0	1	57	3	0	0	0	0	0	0	0	0	0	0	0	0
140114	鳜鱼	4	0	i00527	一般生活在水草茂盛的静水或缓流中，冬季往往游到深水越冬。	2000	1000	2	0	1	1	1	1	1	50	0	1	45	5	0	0	0	0	0	0	0	0	0	0	0	0
140115	螃蟹	4	0	i00445	多数生长于海中，但也有生活于淡水或陆地上，不少人使用其食材来制作可口的料理。	4000	2000	2	0	1	1	1	1	1	10	0	1	52	1	0	0	0	0	0	0	0	0	0	0	0	0
140116	红魽	4	0	i00526	红魽身上有一条黄线，黄线周围的鳞片有着明亮光泽，相当美丽；鱼体富含脂肪，适合制成生鱼片。	4000	2000	2	0	1	1	1	1	1	10	0	1	53	1	0	0	0	0	0	0	0	0	0	0	0	0
140117	石斑	4	0	i00528	石斑鱼体型肥厚，嘴巴宽大，生活在较温暖的海域，肉质鲜嫩，清蒸手法料理最佳。	2000	1000	2	0	1	1	1	1	1	50	0	1	44	5	0	0	0	0	0	0	0	0	0	0	0	0
140118	乌鱼	4	0	i00067	乌鱼对海水温度特别敏感，一到冬天便会成群南下，到较温暖海域产卵，用其鱼卵腌渍制成的乌鱼子，更是人间美味。	4000	2000	2	0	1	1	1	1	1	10	0	1	51	1	0	0	0	0	0	0	0	0	0	0	0	0
140200	西湖醋鱼	4	1	i00494	此菜为名厨宋嫂所研发，以吐净泥沙的西湖草鱼，用三四分火侯烫烤，抹上糖醋而成。外酥内透，清新酸甜。<br>食用效果：回复气血15%，持续三回合	500	250	2	0	1	2	0	7	910037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140201	道口烧鸡	4	1	i00097	状如元宝为型绝﹔抹以蜂蜜，烹炸着色为色绝﹔以八味作料佐以陈年老汤为味绝﹔火候到家为熟烂之绝。<br>食用效果：五回合内，反击时恢复20%气血	500	250	2	0	1	2	0	7	910038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140202	龙井虾仁	4	1	i00495	将清明节前采下的龙井新茶的嫩叶与清河虾仁一起烹调，而制成此具新茶清香与虾仁甘美的菜肴。<br>食用效果：回复内力10%，持续五回合	500	250	2	0	1	2	0	7	910039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140203	叫化子鸡	4	1	i00496	要做此菜需将鸡的内脏除去并填入多种佐料，用猪油、荷叶、箬壳分层包裹、扎紧，再涂上黄泥，最后放入火中煨烤而成。<br>食用效果：回复气血10%，持续五回合	500	250	2	0	1	2	0	7	910040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140204	东坡肉	4	1	i00497	由苏轼发明。用皮薄肉嫩的上选五花猪肉，加入精酿的绍兴黄酒，以小火焖烧而成。<br>食用效果：五回合内，暴击时恢复20%气血	500	250	2	0	1	2	0	7	910041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140205	开水白菜	4	1	i00498	以鸡汤熬煮新鲜的白菜心，鸡汤乃以慢火熬煮数时辰之浓郁汤头。<br>食用效果：三回合内，每回合固定清除自身负向状态一个	500	250	2	0	1	2	0	7	910043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140206	蜜汁火腿	4	1	i00524	将金华火腿用温水洗净，放于锅中沸水以小火熬煮去掉重咸味。<br>食用效果：回复内力15%，持续三回合	500	250	2	0	1	2	0	7	910044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140207	人参鸡汤	4	1	i00812	营养丰富的鸡汤，是十分温补的食物，适合冬令进补。<br>食用效果：四回合内，固定恢复8%气血8%内力	500	250	2	0	1	2	0	7	910045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140208	阎家羊肉汤	4	1	i00099	调料配置适当，汤味鲜美，闻名豫西城乡。<br>食用效果：五回合内，闪避时恢复20%气血	500	250	2	0	1	2	0	7	910046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140209	鲤鱼焙面	4	1	i00095	产自洛阳的地道鲤鱼，配上入味的焙面，香嫩可口。<br>食用效果：四回合内绝对命中	500	250	2	0	1	2	0	7	910047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140210	麻婆豆腐	4	1	i00075	成都名菜，洋溢着年芙蓉对夏侯飞的心意。可不要嘴馋偷吃了！使用可提高气血最大值50	500	250	2	0	1	1	1	1	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140211	肉包子	4	1	i00442	香喷喷的肉包，又大又好吃。<br>食用效果：恢复气血30%	100	50	2	0	1	2	0	16	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140212	咸鱼	4	1	i00616	又臭又咸又干，怎么会有人喜欢吃它的。<br>食用效果：持续恢复气血5%、内力10%	50	25	2	0	1	2	0	7	500057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140213	小白豆浆	4	1	i00096	驰名洛阳的豆浆，香、浓、醇。<br>食用效果：恢复气血30%	100	50	2	0	1	2	0	16	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140214	夫妻肺片	4	1	i00499	以牛杂、猪杂切成薄片，用酱油、红油、辣椒、花椒等佐料卤煮或凉拌做成的料理。吃来麻辣鲜香，非常下饭。<br>食用效果：暴击率增加10%，持续五回合	500	250	2	0	1	2	0	7	910114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140215	三丝敲鱼	4	1	i00525	炒锅中放入清汤，放进鱼片，菜心，精盐，料酒，烧开后加入香菇丝，熟鸡脯丝，熟火腿丝，淋上熟鸡油即可。<br>食用效果：反击率增加10%，持续五回合	500	250	2	0	1	2	0	7	910112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140216	洛阳燕菜	4	1	i00098	又名伪燕菜，金枝玉叶。划萝卜为牡丹，佐以山珍海味烹调成羹，味道香美爽口。<br>食用效果：闪避率增加10%，持续五回合	500	250	2	0	1	2	0	7	910113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140217	担担面	4	1	i00619	四川的特产小吃，得名于挑担叫卖的传统。其面条细滑，主要佐料有红辣椒油、肉末、蒜末和葱花等，口味油香麻辣，相当适口。<br>食用效果：防御力增加10%，持续五回合	500	250	2	0	1	2	0	7	910150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140218	桂圆红枣鸡汤	4	1	i00423	用最肥嫩上等的放山鸡，搭配桂圆、红枣等佐料炖煮的鸡汤。馥郁浓厚，味甘性温，具有补中益气的效果。<br>食用效果：提高内力最大值30	500	250	2	0	1	1	1	1	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140219	回锅肉	4	1	i00623	中国川菜中一种烹调猪肉的传统菜式，被誉为「川菜之王」<br>食用效果：六回合内，固定恢复6%气血6%内力	500	250	2	0	1	2	0	7	910115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140220	白菜	4	1	i00074	又称「包心白菜」，性寒，可生食，耐储存；一般人家常见的食用蔬菜，口感爽脆，清甜解热。	10	5	2	0	1	1	1	1	1	10	0	1	3	10	0	0	0	0	0	0	0	0	0	0	0	0
140221	爆米花	4	1	i00834	又称「爆谷」，玉米在加热后，膨胀成像花一般的样子；外表酥脆、口感松软，吃了会让人心情非常愉悦。<br>食用效果：15%机率攻击两次，持续三回合	100	50	2	0	1	2	0	7	910197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140222	葡萄美酒	4	2	i00136	来自西域的葡萄美酒，似血一般鲜红的颜色，还有那醺人的葡萄香气，使你魂牵梦萦。	600	300	2	0	1	2	0	7	987177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
140223	五粮液	4	2	i00125	以高粱、糯米、大米、玉米、小麦为原料所酿，故名。<br>五回合内，反击时回复25%内力	600	300	2	0	1	2	0	7	910154	0	0	7	910161	0	0	0	0	0	0	0	0	0	0	0	0	0
140224	宝丰酒	4	2	i00121	产地为河南宝丰，属清香型大曲白酒，此酒又称莲花酒。<br>五回合内，暴击时回复25%内力	600	300	2	0	1	2	0	7	910155	0	0	7	910162	0	0	0	0	0	0	0	0	0	0	0	0	0
140225	杜康酒	4	2	i00118	传统名酒，传说杜康为酿酒鼻祖。此酒清冽透明，柔润芳香，甘绵香醇，回味悠长。<br>五回合内，固定回复12%内力	600	300	2	0	1	2	0	7	910156	0	0	7	910163	0	0	0	0	0	0	0	0	0	0	0	0	0
140226	即墨老酒	4	2	i00122	以崂山墨水河畔所产黍稷酿造，有适筋骨入骨髓，健胃补脾之功效。<br>防御力增加15%，持续五回合	600	300	2	0	1	2	0	7	910151	0	0	7	910157	0	0	0	0	0	0	0	0	0	0	0	0	0
140227	汾酒	4	2	i00119	山西汾阳杏花村的水质极好，故此酒以甘泉佳酿著称。<br>攻击力增加15%，持续五回合	600	300	2	0	1	2	0	7	910152	0	0	7	910158	0	0	0	0	0	0	0	0	0	0	0	0	0
140228	西凤酒	4	2	i00120	陜西美酒，唐代国宴时的重要用酒。苏轼曾吟此酒为花开美酒喝不醉。<br>暴击率增加15%，持续五回合	600	300	2	0	1	2	0	7	910153	0	0	7	910159	0	0	0	0	0	0	0	0	0	0	0	0	0
140229	五宝花蜜酒	4	2	i00128	由多种毒虫及花草所酿制的美酒，酒水中飘浮着毒虫，让人望而生畏。<br>食用效果：得到噬气状态并免疫中毒	600	300	2	0	1	2	0	7	500093	0	0	7	500023	0	0	0	0	0	0	0	0	0	0	0	0	0
140230	大红袍	4	0	i00103	茶中状元，茶中之王。母树生长于福建武夷山天心岩九龙窠的高岩峭壁之上，数量很少。香气馥郁，滋味清远，色金黄明艳，可谓仙品。	300	150	2	0	1	1	1	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140231	半山妖	4	0	i00111	传说为白鹞衔茶子吐于峰顶而生，原名半天鹞；由于茶树生长于地势险奇之处，人们戏称为半空中的妖怪，故又名为半山妖。其味清幽，以奇取胜。	300	150	2	0	1	1	1	1	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140232	老鼠肉	4	0	i00743	被啃过的老鼠肉，十分可怕的东西。吃下去不知道会造成什么恐怖的后果......	2	1	2	0	1	2	0	7	900092	0	0	7	910075	0	0	0	0	0	0	0	0	0	0	0	0	0
140233	虎鞭	4	0	i00089	珍贵补品，可强化气血、内力。	2000	1000	2	0	1	1	1	1	1	60	0	1	3	30	0	0	0	0	0	0	0	0	0	0	0	0
140234	熊掌	4	0	i00083	珍贵补品，可强化气血、内力。	2000	1000	2	0	1	1	1	1	1	70	0	1	3	20	0	0	0	0	0	0	0	0	0	0	0	0
140235	熊胆	4	0	i00088	珍贵补品，可强化气血、内力。	2000	1000	2	0	1	1	1	1	1	20	0	1	3	70	0	0	0	0	0	0	0	0	0	0	0	0
140236	蛇胆	4	0	i00087	珍贵补品，可强化气血、内力。	600	300	2	0	1	1	1	1	1	10	0	1	3	40	0	0	0	0	0	0	0	0	0	0	0	0
140300	粗布拳套	1	0	i00724	简单的麻布手套，几无防御力可言。	300	150	2	0	1	1	0	1	99	50	180002	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
140301	皮手套	1	0	i00725	以兽皮所缝制之手套，套住手掌与指关节，可露出半截手指，活动自如。	1200	600	2	0	1	1	0	1	99	100	180002	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
140302	离魂金线缠	1	0	i00403	武林人士专用的特制拳套，虽然名为金线，实则是多种金属交错编织而成，防护性颇高。	2000	1000	2	0	1	1	0	1	99	200	180002	1	41	5	0	1	42	5	0	0	4	0	0	0	0	0
140303	天蚕丝手套	1	0	i00641	以天蚕丝混合银丝、乌金等编制而成，柔韧而坚实，寻常刀剑皆伤它不得。	5000	2500	2	0	1	1	0	1	99	350	180002	1	41	10	0	1	42	10	0	0	4	0	0	0	0	0
140304	金丝手套	1	0	i00404	以金蚕丝织成的手套，薄如蝉翼，宝刀利剑不能破，防护性极佳。	14000	7000	2	0	1	1	0	1	99	500	180002	1	41	20	0	1	42	20	0	0	4	0	0	0	0	0
140305	萃毒指	1	0	i00793	以青铜所制的指爪，内有沟槽可暗藏毒药。	6300	3150	2	0	1	1	0	1	99	350	180006	7	910048	0	0	0	0	0	0	0	4	0	0	0	0	0
140306	鹿革手套	1	0	i00726	高级鹿皮所制，坚韧耐用，深受富豪人家喜爱，价格高昂。	2000	1000	2	0	1	1	0	1	99	200	180002	1	1	250	0	0	0	0	0	0	4	0	0	0	0	0
140307	铁手套	1	0	i00625	铁制的拳套，稍嫌笨重，但有不错的防护力。	2500	1250	2	0	1	1	0	1	99	300	180002	1	1	350	0	0	0	0	0	0	4	0	0	0	0	0
140308	精钢拳套	1	0	i00792	以百炼精钢制成的拳套，虽然防护力、破坏力皆强，但相当沉重，会降低配戴者的灵活度。	7500	3750	2	0	1	1	0	1	99	400	180002	1	1	450	0	0	0	0	0	0	4	0	0	0	0	0
140309	玄铁手套	1	0	i00706	多处以天外玄铁补强，可谓攻防一体的至高杰作。唯一缺陷便是由于采用了玄铁，而非常沉重。内力深厚者方能运用自如。	15000	7500	2	0	1	1	0	1	99	550	180002	1	1	600	0	7	987139	0	0	0	4	0	0	0	0	0
140310	惊鸿靴	1	0	i00608	以奇异珍禽之皮所制，坚韧柔软，刀剑难伤。踝侧有羽翼状的装饰，故此得名。	2000	1000	2	0	1	1	0	1	99	200	180017	1	41	10	0	1	42	10	0	0	4	0	0	0	0	0
140311	银狐飞絮	1	0	i00639	银白色的长靴，轻灵柔韧，兼而有之。	5000	2500	2	0	1	1	0	1	99	350	180017	1	4	2	0	1	51	15	0	0	4	0	0	0	0	0
140312	虎步龙行	1	0	i00728	以白虎与巨鳄两大猛兽的皮做成的护腿，兼具活动性与防御。	14000	7000	2	0	1	1	0	1	99	500	180017	1	4	1	0	7	987142	0	0	0	4	0	0	0	0	0
140313	紫蝶绣鞋	1	0	i00606	绣有一对紫蝶的绣花鞋，鞋底暗藏刀刃，可弹出伤敌。	3600	1800	2	0	1	1	0	1	99	150	180017	7	987176	0	0	0	0	0	0	0	4	0	0	0	0	0
140400	单刀	1	0	i00715	江湖人士常用的基本刀款，打铁铺常见的兵器。	300	150	2	0	1	1	0	1	99	50	180003	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
140401	环柄刀	1	0	i00719	汉代军队常用的刀剑，由一块钢铁直接打成，单刃直身，又称环首剑、环首刀。	1200	600	2	0	1	1	0	1	99	100	180003	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
140402	苗族弯刀	1	0	i00784	苗人所用的弯刀，形如月牙，平日多用于劈开藤蔓。	2000	1000	2	0	1	1	0	1	99	130	180003	1	51	10	0	0	0	0	0	0	2	0	0	0	0	0
140403	雁翎刀	1	0	i00699	单刀中的快刀，质轻且锐利无匹。	2200	1100	2	0	1	1	0	1	99	120	180003	1	52	10	0	0	0	0	0	0	2	0	0	0	0	0
140404	圆月弯刀	1	0	i00346	游牧民族爱用的轻灵弯刀。刀形如月，善于切削而非劈砍。	2100	1050	2	0	1	1	0	1	99	140	180003	1	53	10	0	0	0	0	0	0	2	0	0	0	0	0
140405	霹雳刀	1	0	i00776	霹雳堂精工打造的制式单刀，表层度上了一层铜，显得金光灿然。	3200	1600	2	0	1	1	0	1	99	230	180003	7	910117	0	0	1	53	5	0	0	2	0	0	0	0	0
140406	银口九齿刀	1	0	i00773	精钢所造的砍刀，刀背有九个缺口，可锁拿敌方兵器。	3500	1750	2	0	1	1	0	1	99	250	180003	1	41	10	0	1	42	10	0	0	2	0	0	0	0	0
140407	鬼头刀	1	0	i00775	刀柄处雕有鬼头，刀背有一缺口，背厚面阔，分量笨重，适于劈砍，故常用于刑场斩首时使用。	4200	2100	2	0	1	1	0	1	99	300	180003	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
140408	龙鳞宝刀	1	0	i00718	使用西域精钢和工法，由于经过多次折迭锻打和焠火，刀身上的纹路近似于龙鳞，故而得名。	5600	2800	2	0	1	1	0	1	99	360	180003	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
140409	百辟刀	1	0	i00781	古代宝刀之名，相传为魏武王曹操所制，取其意以辟不祥。	6200	3100	2	0	1	1	0	1	99	280	180003	1	56	50	0	1	57	50	0	0	2	0	0	0	0	0
140410	菊一文字．无铭	1	0	i00774	相传为一文字则宗生前所锻造的最后一柄太刀。刀刃极薄，不适于格挡，使刀者必须具备一击必杀的高超功夫。	7200	3600	2	0	1	1	0	1	99	330	180007	1	51	15	0	0	0	0	0	0	2	0	0	0	0	0
140411	三日月．无铭	1	0	i00786	出自日本平安时代刀匠三条宗近之手的太刀，丝毫不逊于号称天下五剑的三日月宗近。	7400	3700	2	0	1	1	0	1	99	350	180007	1	52	15	0	0	0	0	0	0	2	0	0	0	0	0
140412	村正	1	0	i00778	出自伊势桑名地区的村正一族，异常锋锐。分类为打刀，比太刀更适于劈砍，充满不详的妖气。	7600	3800	2	0	1	1	0	1	99	330	180007	1	53	15	0	0	0	0	0	0	2	0	0	0	0	0
140413	血饮	1	0	i00777	上古异金所铸造之刀，会吸食鲜血，故所伤人命越多，刀越显腥红。	9600	4800	2	0	1	1	0	1	99	450	180005	7	500023	0	0	7	500024	0	0	0	2	0	0	0	0	0
140414	太皇刀	1	0	i00365	传说为鸿蒙以来第一刀，为盘古开天所用之刃，刀一出鞘，其他刀便低头自断。	12000	6000	2	0	1	1	0	1	99	750	180003	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
140415	阎罗	1	0	i00772	精钢混合玄铁锻造的刀，刀形特殊，重量极沉。	15000	7500	2	0	1	1	0	1	99	520	180004	7	987140	0	0	0	0	0	0	0	2	0	0	0	0	0
140416	玄铁刀	1	0	i00701	由天外玄铁所铸造而成，极其沉重，内力深厚者，方能运用自如。	13000	6500	2	0	1	1	0	1	99	650	180003	7	987139	0	0	0	0	0	0	0	2	0	0	0	0	0
140500	铁剑	1	0	i00326	江湖人士常用的基本长剑，随便一家打铁铺都能打造。	100	50	2	0	1	1	0	1	99	120	180008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
140501	冰心	1	0	i00721	通体雪白耀眼，造型极美，不似兵刃。但其实是由上好钢材所锻造。由于水盼盼出身佛门，此剑未开封。	2500	1250	2	0	1	1	0	1	99	200	180008	1	57	8	0	1	56	8	0	0	1	0	0	0	0	1
140502	白晶剑	1	0	i00779	铸剑山庄的三大名剑之一，任浩然已传给其子任剑南。	3000	1500	2	0	1	1	0	1	99	270	180008	7	910201	0	0	0	0	0	0	0	1	0	0	0	0	1
140503	盘月剑	1	0	i00337	剑身极软，但韧性极高，不用时可系于腰间上。	2000	1000	2	0	1	1	0	1	99	140	180008	1	43	15	0	1	44	15	0	0	1	0	0	0	0	0
140504	天羽剑	1	0	i00787	何傲天昔年惯用之剑其一。近于软剑，搭配轻灵多变的剑法可得相辅相成之效。	2000	1000	2	0	1	1	0	1	99	160	180008	1	51	5	0	0	0	0	0	0	1	0	0	0	0	0
140505	太极剑	1	0	i00338	武当派二代掌门的配剑。此剑遵奉昔年张三丰真人的教诲，仅剑尖开锋。	2500	1250	2	0	1	1	0	1	99	190	180008	1	52	10	0	0	0	0	0	0	1	0	0	0	0	0
140506	龙渊剑	1	0	i00330	以名匠欧冶子、干将合铸之龙渊剑为根骨，试图重现其临渊见龙之威势。	2000	1000	2	0	1	1	0	1	99	220	180008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
140507	巨阙剑	1	0	i00331	最早为名匠欧冶子所铸之巨剑，工法独特，能削金断玉，攻防一体，无坚不摧。	2500	1250	2	0	1	1	0	1	99	265	180008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
140508	湛卢剑	1	0	i00332	名匠欧冶子为越王允常所铸之剑，历三年而成。此剑通体墨黑深邃，是其最大特征。	2500	1250	2	0	1	1	0	1	99	265	180008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
