#獎勵編號	作用項目	備註
#iRID	sRewardData	tip
871008	(20,menu1,2,0,0)	開啟畫面按鈕，部隊
871009	(20,menu2,2,0,0)	開啟畫面按鈕，庫房
871010	(20,menu3,2,0,0)	開啟畫面按鈕，交易
871011	(20,menu4,2,0,0)	開啟畫面按鈕，打探
871012	(5,140608,1,0,0)*(25,879006,140608,179996,0)	獲得、裝備崖角槍
871013	(18,879008,500,0,0)	給孟婆經驗
871014	(6,879004,0,0,0)	敖廣加入
871015	(6,879006,0,0,0)	羅煞加入
871016	(6,879008,0,0,0)	孟婆加入
871017	(18,879010,1520,0,0)*(18,879012,1520,0,0)*(18,879014,1520,0,0)	官府三人組，給經驗1520(8級)
871018	(6,879010,0,0,0)*(6,879014,0,0,0)*(6,879012,0,0,0)*(27,879001,879002,0,0)*(27,879004,879005,0,0)*(27,879006,879007,0,0)*(27,879008,879009,0,0)*(27,879010,879011,0,0)*(27,879012,879013,0,0)*(27,879014,879015,0,0)*(26,878003,1,0,0)*(26,878004,1,0,0)*(26,878005,1,0,0)*(26,878006,1,0,0)	官府三人組，加入；全體變臉、四種酆都小兵
871019	(6,879016,0,0,0)*(18,879016,1520,0,0)	阿傍加入，給經驗1520(8級)
871020	(26,878001,1,0,0)*(26,878001,1,0,0)	募兵訓練，龍宮弟子
871021	(26,878002,1,0,0)*(26,878002,1,0,0)	募兵訓練，神槍會弟子
871022	(26,878003,1,0,0)*(26,878003,1,0,0)	募兵訓練，酆都鬼眾
871023	(26,878004,1,0,0)*(26,878004,1,0,0)	募兵訓練，酆都厲鬼
871024	(26,878005,1,0,0)*(26,878005,1,0,0)	募兵訓練，酆都倀鬼
871025	(26,878006,1,0,0)*(26,878006,1,0,0)	募兵訓練，酆都絕鬼
871026	(26,878007,1,0,0)*(26,878006,1,0,0)	募兵訓練，酆都豔鬼
871027	(5,140105,1,210043,0)	主線2，獲得草魚
871028	(5,140107,3,210043,0)	渡口侵襲，額外獎勵；鯉魚x3
871029	(5,141008,1,210043,0)	主線3，獲得鐵甲
871030	(5,141102,1,210043,0)	主線4，夜明珠
871031	(5,141170,1,210043,0)	主線4，玉辟邪
871032	(5,141172,1,210043,0)	主線4，純金明王像
871033	(5,140004,1,210043,0)*(5,140008,2,210043,0)	主線5，黑玉斷續膏、三黃寶臘丹
871034	(5,141140,1,210043,0)*(5,141117,1,210043,0)	主線6，香包、蛙雕像
871035	(5,141137,1,210043,0)*(5,141120,1,210043,0)	主線7，臭垢丸、聖火令
871036	(5,140116,1,210043,0)*(5,140016,1,210043,0)*(5,141168,1,210043,0)	主線8，紅魽、青龍散、金獸
871037	(5,140115,1,210043,0)*(5,140017,1,210043,0)*(5,141166,1,210043,0)	主線9，螃蟹、黑螞蟻升精丸、羊脂白玉碗
871038	(5,140100,1,210043,0)*(5,140012,1,210043,0)*(5,140010,1,210043,0)	主線10，大王蛇膽、九轉還魂丹、茯苓首烏丸
871039	(5,140233,1,210043,0)*(5,141101,1,210043,0)*(5,141127,1,210043,0)	主線11，虎鞭、合浦珍珠、紅火金丹
871040	(5,141124,1,210043,0)*(5,140009,1,210043,0)	主線12，山茶花、田七鯊膽散
871041	(5,140707,1,210043,0)	主線12，朱玉金簪
871042	(5,140112,1,210043,0)*(5,140113,1,210043,0)	主線12，鰱魚、鱅魚
871043	(26,878001,4,0,0)*(26,878001,4,0,0)*(26,878001,4,0,0)	主線12，龍宮好男兒x3
871044	(5,141157,1,210043,0)*(5,141138,1,210043,0)	主線25，廬山高、西洋懷錶
871045	(5,140607,1,210043,0)	主線27，雙刃長刀
871046	(5,140408,1,210043,0)	主線27，龍鱗寶刀
871047	(5,140221,5,210043,0)*(5,140005,3,210043,0)	主線22，爆米花、天香斷續膠
871048	(26,878111,1,0,0)*(26,878110,1,0,0)*(26,878110,1,0,0)*(26,878110,1,0,0)	主線23，公雞母雞加入
871049	(5,140207,2,210043,0)*(5,140209,2,210043,0)*(5,140210,2,210043,0)	主線21，人參雞湯、鯉魚焙麵、麻婆豆腐
871050	(5,141176,5,210043,0)	主線20，霹靂雷火彈
871051	(5,141122,1,210043,0)	主線26，金飯碗
871052	(5,140221,5,210043,0)*(5,140222,3,210043,0)	主線13，爆米花、葡萄美酒
871053	(5,140313,1,210043,0)*(5,140228,5,210043,0)	主線14，紫蝶繡鞋、西鳳酒
871054	(5,140407,1,210043,0)*(5,140706,1,210043,0)	主線15，鬼頭刀、雷震天
871055	(5,140804,1,210043,0)*(5,140232,5,210043,0)	主線16，勾魂索、老鼠肉
871056	(5,140311,1,210043,0)*(5,140708,1,210043,0)	主線17，銀狐飛絮、水晶棋具
871057	(5,140005,1,210043,0)*(5,140201,3,210043,0)	主線18，主線19，天香斷續膠、道口燒雞
871058	(5,140010,2,210043,0)*(5,140215,3,210043,0)	主線18，主線19，茯苓首烏丸、三絲敲魚
871059	(5,140212,10,210043,0)*(5,140109,3,210043,0)*(5,140111,3,210043,0)*(5,140103,3,210043,0)	主線18，主線19，鹹魚、神魚、怪鯰魚、千年人參
871060	(5,140111,1,210043,0)	主線24，怪鯰魚
871061	(5,141152,1,210043,0)*(5,141155,1,210043,0)	主線28，肚痛帖、潑墨仙人
872001	(28,5,0,990096,0)	部隊單位 + 5
872002	(29,5,0,990097,0)	商店進貨數量 + 5
872003	(31,1,0,990099,0)	商店進貨回合減少(預設5回合更新1次)
872004	(30,1,0,990098,0)	打探次數 + 1
872005	(13,0,0,0,23)	失敗結局
872006	(13,0,0,0,24)	壞結局
872007	(13,0,0,0,25)	好結局
872008	(20,DLC_continue,-2,0,0)	結局回來時給，結局後不再繼續
872009	(32,121000012,0,0,0)	回到飼料菜單1
872010	(32,121000013,0,0,0)	回到飼料菜單2
872011	(32,121000014,0,0,0)	回到飼料菜單3
872012	(32,121000015,0,0,0)	回到飼料菜單4
872013	(32,121000016,0,0,0)	回到飼料菜單5
872014	(5,140105,-1,200070,0)*(20,CAT_LOVE,5,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872015	(5,140106,-1,200070,0)*(20,CAT_LOVE,5,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872016	(5,140107,-1,200070,0)*(20,CAT_LOVE,5,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872017	(5,140108,-1,200070,0)*(20,CAT_LOVE,15,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872018	(5,140109,-1,200070,0)*(20,CAT_LOVE,20,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872019	(5,140110,-1,200070,0)*(20,CAT_LOVE,10,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872020	(5,140111,-1,200070,0)*(20,CAT_LOVE,20,0,0)*(20,CAT_FOOD,30,0,0)	扣掉魚，加好感
872021	(5,140112,-1,200070,0)*(20,CAT_LOVE,10,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872022	(5,140113,-1,200070,0)*(20,CAT_LOVE,10,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872023	(5,140114,-1,200070,0)*(20,CAT_LOVE,10,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872024	(5,140115,-1,200070,0)*(20,CAT_LOVE,-10,0,0)	扣掉魚，加好感
872025	(5,140116,-1,200070,0)*(20,CAT_LOVE,15,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872026	(5,140117,-1,200070,0)*(20,CAT_LOVE,15,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872027	(5,140118,-1,200070,0)*(20,CAT_LOVE,15,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872028	(5,140212,-1,200070,0)*(20,CAT_LOVE,30,0,0)*(20,CAT_FOOD,10,0,0)	扣掉魚，加好感
872031	(20,CAT_FOOD,-5,0,0)	日常扣飽食
872032	(20,CAT_LOVE,2,0,0)*(20,CAT_FOOD,-5,0,0)	摸摸加好感，扣飽食
872033	(20,CAT_LOVE,20,0,0)*(20,CAT_FOOD,-10,0,0)	玩孔雀羽，加好感，扣飽食
872034	(20,CAT_LOVE,20,0,0)*(20,CAT_FOOD,5,0,0)	玩蚱蜢，加好感，扣飽食
872035	(20,CAT_LOVE,20,0,0)*(20,CAT_FOOD,-10,0,0)	玩彈珠，加好感，扣飽食
872036	(20,CAT_LOVE,30,0,0)*(20,CAT_FOOD,-10,0,0)	玩貓薄荷球，加好感，扣飽食
875001	(24,231000013,0,0,0)*(26,878001,1,0,0)*(26,878001,1,0,0)*(26,878001,1,0,0)	龍宮訓練，龍宮幫眾+3
875002	(24,231000343,0,0,0)*(26,878092,1,0,0)*(26,878092,1,0,0)	海鯊巡守，海沙幫眾+2
875003	(24,231000063,0,0,0)*(26,878002,1,0,0)*(26,878002,1,0,0)*(26,878002,1,0,0)	神槍訓練，神槍幫眾+3
875004	(24,231000313,0,0,0)*(26,878141,1,0,0)*(26,878141,1,0,0)	護衛霹靂堂，霹靂幫眾+2
875005	(24,231000323,0,0,0)*(26,878176,1,0,0)*(26,878177,1,0,0)	護衛天山，天山弟子+2
875006	(24,231000333,0,0,0)*(26,878305,1,0,0)*(26,878153,1,0,0)*(26,878148,1,0,0)	俘虜救助，酆都鬼眾+1、絕刀門人+1、百草門人+1
875007	(24,231000353,0,0,0)*(26,878308,1,0,0)*(26,878309,1,0,0)*(26,878310,1,0,0)*(26,878311,1,0,0)*(26,878312,1,0,0)	野獸訓練，老虎+1、野熊+1、鱷魚+1、黑狼+1、老鷹+1
875008	(24,231000363,0,0,0)*(26,878161,1,0,0)*(26,878161,1,0,0)	護衛青城，青城弟子+2
875009	(24,231000383,0,0,0)*(26,878198,1,0,0)*(26,878198,1,0,0)	護衛莆田，少林弟子+2
875010	(24,231000393,0,0,0)*(26,878220,1,0,0)*(26,878220,1,0,0)	天龍刺探，東廠殺手+2
875011	(24,231000403,0,0,0)*(26,878093,1,0,0)*(26,878093,1,0,0)	火炮奪取，神火隊+2
875012	(24,231000193,0,0,0)*(26,878003,1,0,0)*(26,878004,1,0,0)*(26,878005,1,0,0)*(26,878006,1,0,0)	鬼眾訓練，酆都鬼眾+1、厲鬼+1、倀鬼+1、絕鬼+1
875013	(24,231000203,0,0,0)*(26,878044,1,0,0)*(26,878044,1,0,0)*(26,878081,1,0,0)	鐵叉訓練，鐵叉勇士+3
875014	(24,231000523,0,0,0)*(26,878166,1,0,0)*(26,878166,1,0,0)*(26,878166,1,0,0)	救援獵人，獸王莊弟子+3
899996	(26,878308,1,0,0)*(26,878309,1,0,0)*(26,878310,1,0,0)*(26,878311,1,0,0)*(26,878312,1,0,0)*(26,878003,1,0,0)*(26,878004,1,0,0)*(26,878005,1,0,0)*(26,878006,1,0,0)	測試用
899997	(5,140212,10,210043,0)*(5,141147,1,210043,0)*(5,141149,1,210043,0)*(5,141109,1,210043,0)*(5,140908,1,210043,0)*(5,140708,1,210043,0)*(5,140400,1,210043,0)*(5,140401,1,210043,0)*(5,140402,1,210043,0)*(5,140403,1,210043,0)*(5,140404,1,210043,0)*(5,140405,1,210043,0)*(5,140406,1,210043,0)*(5,140407,1,210043,0)*(5,140408,1,210043,0)*(5,140409,1,210043,0)*(5,140410,1,210043,0)*(5,140411,1,210043,0)*(5,140412,1,210043,0)*(5,140413,1,210043,0)*(5,140414,1,210043,0)*(5,140415,1,210043,0)*(5,140416,1,210043,0)*(5,187087,20,210043,0)	給鹹魚
899998	(20,menu0,2,0,0)*(20,menu2,2,0,0)*(20,menu1,2,0,0)*(20,menu3,2,0,0)*(20,menu4,2,0,0)*(6,879004,0,0,0)*(6,879006,0,0,0)*(6,879008,0,0,0)*(6,879010,0,0,0)*(6,879014,0,0,0)*(6,879012,0,0,0)*(6,879016,0,0,0)*(26,878001,1,0,0)*(26,878002,1,0,0)*(26,878003,1,0,0)*(26,878004,1,0,0)*(26,878005,1,0,0)*(26,878006,1,0,0)*(18,879001,4000,0,0)*(18,879004,4000,0,0)*(18,879006,4000,0,0)*(18,879008,4000,0,0)*(18,879010,4000,0,0)*(18,879012,4000,0,0)*(18,879014,4000,0,0)*(18,879016,4000,0,0)	測試用
899999	(20,menu0,2,0,0)*(20,menu2,2,0,0)*(20,menu1,2,0,0)*(20,menu3,2,0,0)*(20,menu4,2,0,0)*(6,879004,0,0,0)*(6,879006,0,0,0)*(6,879008,0,0,0)*(6,879010,0,0,0)*(6,879012,0,0,0)*(6,879014,0,0,0)*(6,879016,0,0,0)*(26,878200,1,0,0)*(26,878201,1,0,0)*(26,878202,1,0,0)	測試用
