#编号	3D模块文件名	NPC战斗用图	NPC全身图	NPC队伍图	NPC 小图	是否记录友好度	NPC名称	人物简介	性别	派别ICON	称号设定
#iID	s3DModel	sMaxImage	sAllImage	sMemberImage	sSmallImage	iFriendly	sNpcName	sIntroduction	iGenderType	iMartialType	sTitle
100033	Wyg_yPoison	B100033	100033	M100033	S100033	1	沈澜	怪医之女，个性怪癖，最喜欢钻研毒术，隐居在谷外的大森林中。	1	0	怪医少女
878164	Hunter_boss	B200030	200030	M200030	S200030	0	万青山	兽王庄庄主，外表凶悍却心细如发，武功高强又头脑清醒。一群猎户组成的兽王庄，却被万青山经营得有声有色，足见其过人之能。	1	6	兽王庄主
600049	DL_pupil	B100068	100068	M100068	S100068	0	赫蒙族女战士	守护原始森林的苗疆少数民族，对他们而言，这片野林是不容侵犯的圣地，闯入圣地的你要小心了。	0	8	苗疆勇士
600048	DL_pupil3	B100069	100069	M100069	S100069	0	赫蒙族战士	守护原始森林的苗疆少数民族，对他们而言，这片野林是不容侵犯的圣地，闯入圣地的你要小心了。	1	8	苗疆勇士
100068	DL_pupil	B100068	100068	M100068	S100068	0	毒龙教众	毒龙教弟子	0	8	毒龙教众
100069	DL_pupil2	B100069	100069	M100069	S100069	0	毒龙教众	毒龙教弟子	1	8	毒龙教众
100067	DL_yellow	B100067	100067	M100067	S100067	0	黄娟	毒龙教二教主，认为自己比教主蓝婷更有领导才能，千方百计想要坐上掌教之位。格言是「只有我，才能带领毒龙教走向辉煌！」	0	8	蛇蝎美人
878225	DL_blue	B100058	100058	M100058	S100058	1	蓝婷	毒龙教历任最年轻的教主。面貌姣好，有苗家姑娘的直率与天真，却又有手段狠毒的一面，让人着实猜不透她的心。擅长使毒、淬毒；喜爱江南丝绸织品。	0	8	毒龙教主
100133	Xiuluo_03	B100133	100133	M100133	S100133	0	修罗宫弟子	修罗宫弟子	0	5	修罗无情
879007	TL_guard03	B610168	610168	M610168	S610168	0	自在天	天龙教四天王之一，擅长舞蹈与丝竹，隶属于干达婆麾下，在干达婆反走后宣誓效忠龙王。擅使日月双轮，曾代阿修罗传功给修罗宫门人。	0	1	四天王
100131	Xiuluo_03	B100133	100133	M100133	S100133	0	销魂	修罗宫弟子	0	5	销魂蚀骨
878256	TL_xiuluo	B100006	100006	M100006	S100006	0	樊未离	本名樊未离，天龙八部之阿修罗。武功莫测高深，个性狂野不羁，常着一袭蓝色披风。与任天翔有过一段感情纠葛，却又反目成仇。平素住在修罗宫，极少在江湖露面，但一旦有任天翔出现，阿修罗势必会加入其敌对阵营。	0	1	阿修罗
878158	Sword_pupil	B100073	100073	M100073	S100073	0	天剑门人	天剑门弟子	1	12	天剑门人
878156	Sword_master	B100071	100071	M100071	S100071	0	西门玄	天剑门门主。性情刚烈，不服输。自年轻时便不断找高人比试，在战斗中提升自己。到中年虽有所收敛，但遇到上门挑战者还是来者不拒。与长虹镖局关长虹、河洛大侠江天雄并称洛阳三杰。	1	12	一剑擎天
878148	Blade_pupil	B100086	100086	M100086	S100086	0	绝刀门人	绝刀门弟子	1	15	绝刀门人
878147	Blade_Fei	B100085	100085	M100085	S100085	1	夏侯非	绝刀门少门主，尽得其父夏侯城之真传，将绝刀门「十三绝刀」融会贯通，自创出回旋刀法，以破解天剑门的天剑七式为毕生目标。为人正义但个性急躁，对于茶道颇有研究。对青梅竹马的年芙蓉有情。	1	15	阴阳刀
878146	Blade_master	B100084	100084	M100084	S100084	0	夏侯城	绝刀门门主。性格与西门玄截然相反，对本门刀法敝帚自珍，从不与人比试。除了门下弟子，再难有人见识到其武功高低。	1	15	绝命一刀
878151	BG_pupil	B100090	100090	M100090	S100090	0	八卦门人	八卦门弟子	1	16	八卦门人
200029	BG_sheng03	B200029	200029	M200029	S200029	0	商仲智	八卦门掌门长子，修炼本门八卦掌法，已有其父商鹤鸣七成火候。性情内敛，情绪极少外露，是个生人很难接近的人物。	1	16	八卦掌
878149	BG_master	B100088	100088	M100088	S100088	0	商鹤鸣	八卦门掌门。采武当太极之长，创八卦刀法与八卦掌法，招式迅猛凶险，与道家修身养性的门风不符，故而为正道中人所蔑视。商鹤鸣却不以为意，还常常自鸣得意，自诩「当世第一武学家」。	1	16	银髯金刀
878145	TM_pupil	B100083	100083	M100083	S100083	0	唐门门人	唐门弟子	1	14	唐门门人
878143	TM_Guannan	B100081	100081	M100081	S100081	1	唐冠南	唐门掌门人唐飞之子，为人奸险，武艺阴毒，杀人不眨眼。平日爱玩乐，一派公子哥行径，但似乎十分疼爱妹妹唐中慧。	1	14	万里毒行
878142	TM_master	B100080	100080	M100080	S100080	0	唐飞	唐门门主，城府极深，无论何时，脸上总是挂着让人难以捉摸的笑容，向来与中原各大门派不合。	1	14	笑里藏刀
878272	Weapon_pupil	B100095	100095	M100095	S100095	0	护剑使	铸剑山庄弟子	1	18	护剑使
878270	Weapon_master	B100093	100093	M100093	S100093	0	任浩然	铸剑山庄庄主，终生与剑为伴，单凭听音观影便可知剑的优劣。唯武功不济，无力维持任家的江湖地位，在天龙教与武林正道之间摇摆不定，随时准备屈从于强者。	1	18	铸剑庄主
878015	Guanfu_pupil	B100117	100117	0	S100117	0	衙门官兵	就是个尽忠职守的官兵。	1	11	无名小卒
600089	LY_soldier4	B360078	360078	0	0	0	六扇门捕快	隶属于六扇门的官兵，行事带有江湖匪气。	1	11	六扇门人
600088	LY_soldier3	B990035	990035	0	0	0	六扇门官兵	隶属于六扇门的官兵，行事带有江湖匪气。	1	11	六扇门人
878093	LY_BonBon	B990035	990035	M990035	S990035	0	神火兵	保命要紧，你还有闲情逸致看他的简介？	1	11	神机营精锐
600067	LY_soldier3	B990037	990037	M990037	S990037	0	神枪兵	保命要紧，你还有闲情逸致看他的简介？	1	11	神机营精锐
878021	Guanfu_killer	B500006	500006	0	S500006	0	锦衣卫	直属皇帝的特种单位，各个武艺高强，身怀绝技，杀人不眨眼。	1	11	锦衣校尉
878063	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为完成任务不择手段。	1	20	锦衣力士
890026	Guanfu_snow	B990026	990026	M990026	S990026	0	尹世允	朝鲜四大高手，刀后尹嫫欣之子。命犯天煞孤星，早已下定决心此生只与魔刀为伴。	1	0	天煞孤星
890025	Guanfu_bird	B990025	990025	M990025	S990025	0	金熙凤	朝鲜四大高手，自称风流而不下流，有着足以倾倒天下美女的容颜。擅长指功，可以肉指抵抗刀剑。	1	0	神来一指
890024	Guanfu_flower	B990024	990024	M990024	S990024	0	花玖瑟	朝鲜四大高手，生来便目不识物，但凭着超乎常人的触觉与嗅觉而练就绝世武功。	1	0	花间诗人
890023	Guanfu_leaf	B990023	990023	M990023	S990023	0	叶孤	朝鲜四大高手，剑法冠绝朝鲜国，个性自傲，一直想与尹世允分个高下。	1	0	朝鲜神剑
210125	Menpai_pupil	B200018	200018	M200018	S200018	0	上官雁	诚王的部属，忠心不二。	1	0	诚王部属
210079	Guanfu_Killer	B500006	500006	0	S500006	0	崔国伦	陕北追形剑的高手。接任锦衣卫的第一个任务，就是杀死对己有养育之恩的师父「登云腿」朱锋，江湖中人对其狠劲敬而远之，暗地里封他土狼的称号。	1	11	土狼
878035	East_chen	B100115	100115	M100115	S100115	0	陈公公	原名陈崇英。东厂头目，手段阴狠，武功造诣不明。是当今朝中最令忠臣义士切齿痛恨的一人。借囚禁戚将军的机会，打算诱出与朝廷作对的江湖人，并将他们一网打尽。	1	20	东厂不败
