#ID	Name	icon 	Auto	RequestCondition	Passive	Tip	price
87100143	心法	TalentIcon01	1	(1,0,0,0)	(8,60045,0)	0	0
87100144	心法	TalentIcon01	1	(1,0,0,0)	(8,60046,0)	0	0
87100145	心法	TalentIcon01	1	(1,0,0,0)	(8,60047,0)	0	0
87100146	心法	TalentIcon01	1	(1,0,0,0)	(8,60048,0)	0	0
87100147	心法	TalentIcon01	1	(1,0,0,0)	(8,60049,0)	0	0
87100148	心法	TalentIcon01	1	(1,0,0,0)	(8,60050,0)	0	0
87100149	心法	TalentIcon01	1	(1,0,0,0)	(8,60051,0)	0	0
87100150	心法	TalentIcon01	1	(1,0,0,0)	(8,60052,0)	0	0
87100151	心法	TalentIcon01	1	(1,0,0,0)	(8,60053,0)	0	0
87100152	心法	TalentIcon01	1	(1,0,0,0)	(8,60054,0)	0	0
87100153	心法	TalentIcon01	1	(1,0,0,0)	(8,60055,0)	0	0
87100154	心法	TalentIcon01	1	(1,0,0,0)	(8,60056,0)	0	0
87100155	心法	TalentIcon01	1	(1,0,0,0)	(8,60057,0)	0	0
87100156	心法	TalentIcon01	1	(1,0,0,0)	(8,60058,0)	0	0
87100157	心法	TalentIcon01	1	(1,0,0,0)	(8,60059,0)	0	0
87100158	心法	TalentIcon01	1	(1,0,0,0)	(8,60060,0)	0	0
87100159	心法	TalentIcon01	1	(1,0,0,0)	(8,60061,0)	0	0
87100160	心法	TalentIcon01	1	(1,0,0,0)	(8,60062,0)	0	0
87100161	心法	TalentIcon01	1	(1,0,0,0)	(8,60063,0)	0	0
87100162	心法	TalentIcon01	1	(1,0,0,0)	(8,60064,0)	0	0
87100163	心法	TalentIcon01	1	(1,0,0,0)	(8,60065,0)	0	0
87100164	心法	TalentIcon01	1	(1,0,0,0)	(8,60066,0)	0	0
87100165	心法	TalentIcon01	1	(1,0,0,0)	(8,60067,0)	0	0
87100166	心法	TalentIcon01	1	(1,0,0,0)	(8,60068,0)	0	0
87100167	心法	TalentIcon01	1	(1,0,0,0)	(8,60069,0)	0	0
87100168	心法	TalentIcon01	1	(1,0,0,0)	(8,60070,0)	0	0
87100169	心法	TalentIcon01	1	(1,0,0,0)	(8,60071,0)	0	0
87100170	心法	TalentIcon01	1	(1,0,0,0)	(8,60072,0)	0	0
87100171	心法	TalentIcon01	1	(1,0,0,0)	(8,60073,0)	0	0
87100172	心法	TalentIcon01	1	(1,0,0,0)	(8,60074,0)	0	0
87100173	心法	TalentIcon01	1	(1,0,0,0)	(8,60075,0)	0	0
87100174	心法	TalentIcon01	1	(1,0,0,0)	(8,70001,0)	0	0
87100175	心法	TalentIcon01	1	(1,0,0,0)	(8,70002,0)	0	0
87100176	心法	TalentIcon01	1	(1,0,0,0)	(8,70004,0)	0	0
87100177	心法	TalentIcon01	1	(1,0,0,0)	(8,70005,0)	0	0
87100178	心法	TalentIcon01	1	(1,0,0,0)	(8,70009,0)	0	0
87100179	心法	TalentIcon01	1	(1,0,0,0)	(8,70011,0)	0	0
87100180	心法	TalentIcon01	1	(1,0,0,0)	(8,70012,0)	0	0
87100181	心法	TalentIcon01	1	(1,0,0,0)	(8,70013,0)	0	0
87100182	心法	TalentIcon01	1	(1,0,0,0)	(8,70014,0)	0	0
87100183	心法	TalentIcon01	1	(1,0,0,0)	(8,70017,0)	0	0
87100184	心法	TalentIcon01	1	(1,0,0,0)	(8,70018,0)	0	0
87100185	心法	TalentIcon01	1	(1,0,0,0)	(8,70021,0)	0	0
87100186	心法	TalentIcon01	0	(1,0,0,0)	(8,70022,0)	0	1
87100187	心法	TalentIcon01	0	(1,0,0,0)	(8,70023,0)	0	1
87100188	心法	TalentIcon01	0	(1,0,0,0)	(8,70024,0)	0	1
87100189	心法	TalentIcon01	0	(1,0,0,0)	(8,70025,0)	0	1
87100190	心法	TalentIcon01	0	(1,0,0,0)	(8,70029,0)	0	1
87100191	心法	TalentIcon01	0	(1,0,0,0)	(8,70030,0)	0	1
87100192	心法	TalentIcon01	0	(1,0,0,0)	(8,70031,0)	0	1
87100193	心法	TalentIcon01	0	(1,0,0,0)	(8,70032,0)	0	2
87100194	心法	TalentIcon01	0	(1,0,0,0)	(8,70033,0)	0	2
87100195	心法	TalentIcon01	0	(1,0,0,0)	(8,70034,0)	0	3
87100196	心法	TalentIcon01	0	(1,0,0,0)	(8,70035,0)	0	3
87100197	心法	TalentIcon01	0	(1,0,0,0)	(8,70036,0)	0	3
87100198	心法	TalentIcon01	0	(1,0,0,0)	(8,70039,0)	0	1
87100199	心法	TalentIcon01	0	(1,0,0,0)	(8,70041,0)	0	1
87100200	心法	TalentIcon01	0	(1,0,0,0)	(8,70042,0)	0	1
87100201	心法	TalentIcon01	0	(1,0,0,0)	(8,70043,0)	0	1
87100202	心法	TalentIcon01	0	(1,0,0,0)	(8,70044,0)	0	1
87100203	心法	TalentIcon01	0	(1,0,0,0)	(8,70046,0)	0	1
87100204	心法	TalentIcon01	0	(1,0,0,0)	(8,70047,0)	0	2
87100205	心法	TalentIcon01	0	(1,0,0,0)	(8,70048,0)	0	1
87100206	心法	TalentIcon01	0	(1,0,0,0)	(8,70049,0)	0	1
87100207	心法	TalentIcon01	0	(1,0,0,0)	(8,70050,0)	0	2
87100208	心法	TalentIcon01	0	(1,0,0,0)	(8,70051,0)	0	1
87100209	心法	TalentIcon01	0	(1,0,0,0)	(8,70066,0)	0	1
87100210	心法	TalentIcon01	0	(1,0,0,0)	(8,70067,0)	0	2
87100211	心法	TalentIcon01	0	(1,0,0,0)	(8,70068,0)	0	1
87100212	心法	TalentIcon01	0	(1,0,0,0)	(8,70069,0)	0	2
87100213	心法	TalentIcon01	0	(1,0,0,0)	(8,70070,0)	0	2
87100214	心法	TalentIcon01	0	(1,0,0,0)	(8,70071,0)	0	2
87100215	心法	TalentIcon01	0	(1,0,0,0)	(8,70072,0)	0	0
87100216	心法	TalentIcon01	0	(1,0,0,0)	(8,70076,0)	0	0
87100217	心法	TalentIcon01	0	(1,0,0,0)	(8,70078,0)	0	0
87100218	心法	TalentIcon01	0	(1,0,0,0)	(8,70079,0)	0	1
87100219	心法	TalentIcon01	0	(1,0,0,0)	(8,70080,0)	0	2
87100220	心法	TalentIcon01	0	(1,0,0,0)	(8,70081,0)	0	1
87100221	心法	TalentIcon01	0	(1,0,0,0)	(8,70082,0)	0	2
87100222	心法	TalentIcon01	0	(1,0,0,0)	(8,70083,0)	0	2
87100223	心法	TalentIcon01	0	(1,0,0,0)	(8,70084,0)	0	2
87100224	心法	TalentIcon01	0	(1,0,0,0)	(8,70086,0)	0	2
87100225	心法	TalentIcon01	0	(1,0,0,0)	(8,70087,0)	0	2
87100226	心法	TalentIcon01	0	(1,0,0,0)	(8,70088,0)	0	2
87100227	心法	TalentIcon01	1	(1,0,0,0)	(8,70090,0)	0	0
87100228	心法	TalentIcon01	0	(1,0,0,0)	(8,99001,0)	0	0
87200001	天赋	TalentIcon10	0	(1,0,0,0)	(5,205,0)	0	3
87200002	天赋	TalentIcon10	0	(1,0,0,0)	(5,206,0)	0	3
87200003	天赋	TalentIcon10	0	(1,0,0,0)	(5,301,0)	0	1
87200004	天赋	TalentIcon10	0	(1,0,0,0)	(5,302,0)	0	1
87200005	天赋	TalentIcon10	0	(1,0,0,0)	(5,303,0)	0	1
87200006	天赋	TalentIcon10	0	(1,0,0,0)	(5,305,0)	0	2
87200007	天赋	TalentIcon10	0	(1,0,0,0)	(5,307,0)	0	1
87200008	天赋	TalentIcon10	0	(1,0,0,0)	(5,309,0)	0	1
87200009	天赋	TalentIcon10	0	(1,0,0,0)	(5,310,0)	0	2
87200010	天赋	TalentIcon10	0	(1,0,0,0)	(5,311,0)	0	1
87200011	天赋	TalentIcon10	0	(1,0,0,0)	(5,312,0)	0	1
87200012	天赋	TalentIcon10	0	(1,0,0,0)	(5,313,0)	0	2
87200013	天赋	TalentIcon10	0	(1,0,0,0)	(5,315,0)	0	1
87200014	天赋	TalentIcon10	0	(1,0,0,0)	(5,317,0)	0	2
87200015	天赋	TalentIcon10	0	(1,0,0,0)	(5,320,0)	0	2
87200016	天赋	TalentIcon10	0	(1,0,0,0)	(5,321,0)	0	2
87200017	天赋	TalentIcon10	0	(1,0,0,0)	(5,322,0)	0	0
87200018	天赋	TalentIcon10	0	(1,0,0,0)	(5,323,0)	0	0
87200019	天赋	TalentIcon10	0	(1,0,0,0)	(5,325,0)	0	0
87200020	天赋	TalentIcon10	0	(1,0,0,0)	(5,326,0)	0	2
87200021	天赋	TalentIcon10	0	(1,0,0,0)	(5,327,0)	0	1
87200022	天赋	TalentIcon10	0	(1,0,0,0)	(5,332,0)	0	2
87200023	天赋	TalentIcon10	0	(1,0,0,0)	(5,333,0)	0	2
87200024	天赋	TalentIcon10	1	(1,0,0,0)	(5,335,0)	0	0
87200025	天赋	TalentIcon10	1	(1,0,0,0)	(5,351,0)	0	0
87200026	天赋	TalentIcon10	1	(1,0,0,0)	(5,352,0)	0	0
87200027	天赋	TalentIcon10	1	(1,0,0,0)	(5,353,0)	0	0
87200028	天赋	TalentIcon10	1	(1,0,0,0)	(5,401,0)	0	0
87300001	气血强化（初级）	TalentIcon19	0	(1,0,0,0)	(1,1,500)	提升气血500点	1
87300002	气血强化（中级）	TalentIcon19	0	(1,0,0,0)	(1,1,600)	提升气血600点	1
87300003	内力强化（初级）	TalentIcon19	0	(1,0,0,0)	(1,3,500)	提升内力500点	1
87300004	内力强化（中级）	TalentIcon19	0	(1,0,0,0)	(1,3,600)	提升内力600点	1
87300005	爆击强化（初级）	TalentIcon19	0	(1,0,0,0)	(1,53,5)*(1,1,300)	爆击率+5%，气血+300	1
87300006	爆击强化（中级）	TalentIcon19	0	(1,0,0,0)	(1,53,7)*(1,1,500)	爆击率+7%，气血+500	1
87300007	爆击强化（高级）	TalentIcon19	0	(1,0,0,0)	(1,53,8)*(1,1,700)	爆击率+8%，气血+700	2
87300008	闪避强化（初级）	TalentIcon19	0	(1,0,0,0)	(1,51,5)*(1,1,300)	闪避率+5%，气血+300	1
87300009	闪避强化（中级）	TalentIcon19	0	(1,0,0,0)	(1,51,7)*(1,1,500)	闪避率+7%，气血+500	1
87300010	闪避强化（高级）	TalentIcon19	0	(1,0,0,0)	(1,51,8)*(1,1,700)	闪避率+8%，气血+700	2
87300011	反击强化（初级）	TalentIcon19	0	(1,0,0,0)	(1,52,5)*(1,1,300)	反击率+5%，气血+300	1
87300012	反击强化（中级）	TalentIcon19	0	(1,0,0,0)	(1,52,7)*(1,1,500)	反击率+7%，气血+500	1
87300013	反击强化（高级）	TalentIcon19	0	(1,0,0,0)	(1,52,8)*(1,1,700)	反击率+8%，气血+700	2
87300014	轻功强化（初级）	TalentIcon19	0	(1,0,0,0)	(1,4,1)*(1,3,300)	移动格数+1，内力+300	1
87300015	轻功强化（高级）	TalentIcon19	0	(1,0,0,0)	(1,4,1)*(1,3,300)	移动格数+1，内力+700	2
87300016	防御强化（初级）	TalentIcon19	0	(1,0,0,0)	(6,15,0)	应对点数+15	1
87300017	防御强化（中级）	TalentIcon19	0	(1,0,0,0)	(6,25,0)	应对点数+25	2
87300018	防御强化（高级）	TalentIcon19	0	(1,0,0,0)	(6,35,0)	应对点数+35	2
87400001	武功	TalentIcon18	0	(1,0,0,0)	(2,100001,0)	0	0
87400002	武功	TalentIcon18	0	(1,0,0,0)	(2,100002,0)	0	0
87400003	武功	TalentIcon18	0	(1,0,0,0)	(2,100003,0)	0	0
87400004	武功	TalentIcon18	0	(1,0,0,0)	(2,100004,0)	0	0
87400005	武功	TalentIcon18	0	(1,0,0,0)	(2,100005,0)	0	0
87400006	武功	TalentIcon18	0	(1,0,0,0)	(2,100006,0)	0	0
87400007	武功	TalentIcon18	0	(1,0,0,0)	(2,100007,0)	0	0
87400008	武功	TalentIcon18	0	(1,0,0,0)	(2,100008,0)	0	0
87400009	武功	TalentIcon18	0	(1,0,0,0)	(2,100009,0)	0	0
87400010	武功	TalentIcon18	0	(1,0,0,0)	(2,100010,0)	0	0
87400011	武功	TalentIcon18	0	(1,0,0,0)	(2,100011,0)	0	0
87400012	武功	TalentIcon18	0	(1,0,0,0)	(2,100012,0)	0	0
87400013	武功	TalentIcon18	0	(1,0,0,0)	(2,100013,0)	0	0
87400014	武功	TalentIcon18	0	(1,0,0,0)	(2,100014,0)	0	0
87400015	武功	TalentIcon18	0	(1,0,0,0)	(2,100015,0)	0	0
87400016	武功	TalentIcon18	0	(1,0,0,0)	(2,100016,0)	0	0
87400017	武功	TalentIcon18	0	(1,0,0,0)	(2,100017,0)	0	0
87400018	武功	TalentIcon18	0	(1,0,0,0)	(2,100018,0)	0	0
87400019	武功	TalentIcon18	0	(1,0,0,0)	(2,100019,0)	0	0
87400020	武功	TalentIcon18	0	(1,0,0,0)	(2,100020,0)	0	0
87400021	武功	TalentIcon18	0	(1,0,0,0)	(2,100021,0)	0	0
87400022	武功	TalentIcon18	0	(1,0,0,0)	(2,100022,0)	0	0
87400023	武功	TalentIcon18	0	(1,0,0,0)	(2,100023,0)	0	0
87400024	武功	TalentIcon18	0	(1,0,0,0)	(2,100024,0)	0	0
87400025	武功	TalentIcon18	0	(1,0,0,0)	(2,100025,0)	0	0
87400026	武功	TalentIcon18	0	(1,0,0,0)	(2,100026,0)	0	0
87400027	武功	TalentIcon18	0	(1,0,0,0)	(2,100027,0)	0	0
87400028	武功	TalentIcon18	0	(1,0,0,0)	(2,100028,0)	0	0
87400029	武功	TalentIcon18	0	(1,0,0,0)	(2,100029,0)	0	0
87400030	武功	TalentIcon18	0	(1,0,0,0)	(2,100030,0)	0	0
87400031	武功	TalentIcon18	0	(1,0,0,0)	(2,100031,0)	0	0
87400032	武功	TalentIcon18	0	(1,0,0,0)	(2,100032,0)	0	0
87400033	武功	TalentIcon18	0	(1,0,0,0)	(2,100033,0)	0	0
87400034	武功	TalentIcon18	0	(1,0,0,0)	(2,100034,0)	0	0
87400035	武功	TalentIcon18	0	(1,0,0,0)	(2,100035,0)	0	0
87400036	武功	TalentIcon18	0	(1,0,0,0)	(2,100036,0)	0	0
87400037	武功	TalentIcon18	0	(1,0,0,0)	(2,100037,0)	0	0
87400038	武功	TalentIcon18	0	(1,0,0,0)	(2,100038,0)	0	0
87400039	武功	TalentIcon18	0	(1,0,0,0)	(2,100039,0)	0	0
87400040	武功	TalentIcon18	0	(1,0,0,0)	(2,100040,0)	0	0
87400041	武功	TalentIcon18	0	(1,0,0,0)	(2,100041,0)	0	0
87400042	武功	TalentIcon18	0	(1,0,0,0)	(2,100042,0)	0	0
87400043	武功	TalentIcon18	0	(1,0,0,0)	(2,100043,0)	0	0
87400044	武功	TalentIcon18	0	(1,0,0,0)	(2,100044,0)	0	0
87400045	武功	TalentIcon18	0	(1,0,0,0)	(2,100045,0)	0	0
87400046	武功	TalentIcon18	0	(1,0,0,0)	(2,100046,0)	0	0
87400047	武功	TalentIcon18	0	(1,0,0,0)	(2,100047,0)	0	0
87400048	武功	TalentIcon18	0	(1,0,0,0)	(2,100048,0)	0	0
87400049	武功	TalentIcon18	0	(1,0,0,0)	(2,100049,0)	0	0
87400050	武功	TalentIcon18	0	(1,0,0,0)	(2,100050,0)	0	0
87400051	武功	TalentIcon18	0	(1,0,0,0)	(2,100051,0)	0	0
87400052	武功	TalentIcon18	0	(1,0,0,0)	(2,100052,0)	0	0
87400053	武功	TalentIcon18	0	(1,0,0,0)	(2,100053,0)	0	0
87400054	武功	TalentIcon18	0	(1,0,0,0)	(2,100054,0)	0	0
87400055	武功	TalentIcon18	0	(1,0,0,0)	(2,100055,0)	0	0
87400056	武功	TalentIcon18	0	(1,0,0,0)	(2,100056,0)	0	0
87400057	武功	TalentIcon18	0	(1,0,0,0)	(2,100057,0)	0	0
87400058	武功	TalentIcon18	0	(1,0,0,0)	(2,100058,0)	0	0
87400059	武功	TalentIcon18	0	(1,0,0,0)	(2,100059,0)	0	0
87400060	武功	TalentIcon18	0	(1,0,0,0)	(2,100060,0)	0	0
87400061	武功	TalentIcon18	0	(1,0,0,0)	(2,100061,0)	0	0
87400062	武功	TalentIcon18	0	(1,0,0,0)	(2,100062,0)	0	0
87400063	武功	TalentIcon18	0	(1,0,0,0)	(2,100063,0)	0	0
87400064	武功	TalentIcon18	0	(1,0,0,0)	(2,100064,0)	0	0
87400065	武功	TalentIcon18	0	(1,0,0,0)	(2,100065,0)	0	0
87400066	武功	TalentIcon18	0	(1,0,0,0)	(2,100066,0)	0	0
87400067	武功	TalentIcon18	0	(1,0,0,0)	(2,100067,0)	0	0
87400068	武功	TalentIcon18	0	(1,0,0,0)	(2,100068,0)	0	0
87400069	武功	TalentIcon18	0	(1,0,0,0)	(2,100069,0)	0	0
87400070	武功	TalentIcon18	0	(1,0,0,0)	(2,100070,0)	0	0
87400071	武功	TalentIcon18	0	(1,0,0,0)	(2,100071,0)	0	0
87400072	武功	TalentIcon18	0	(1,0,0,0)	(2,100072,0)	0	0
87400073	武功	TalentIcon18	0	(1,0,0,0)	(2,100073,0)	0	0
87400074	武功	TalentIcon18	0	(1,0,0,0)	(2,100074,0)	0	0
87400075	武功	TalentIcon18	0	(1,0,0,0)	(2,100075,0)	0	0
87400076	武功	TalentIcon18	0	(1,0,0,0)	(2,100076,0)	0	0
87400077	武功	TalentIcon18	0	(1,0,0,0)	(2,100077,0)	0	0
87400078	武功	TalentIcon18	0	(1,0,0,0)	(2,100078,0)	0	0
87400079	武功	TalentIcon18	0	(1,0,0,0)	(2,100079,0)	0	0
87400080	武功	TalentIcon18	0	(1,0,0,0)	(2,100080,0)	0	0
87400081	武功	TalentIcon18	0	(1,0,0,0)	(2,100081,0)	0	0
87400082	武功	TalentIcon18	0	(1,0,0,0)	(2,100082,0)	0	0
87400083	武功	TalentIcon18	0	(1,0,0,0)	(2,100083,0)	0	0
87400084	武功	TalentIcon18	0	(1,0,0,0)	(2,100084,0)	0	0
87400085	武功	TalentIcon18	0	(1,0,0,0)	(2,100085,0)	0	0
87400086	武功	TalentIcon18	0	(1,0,0,0)	(2,100086,0)	0	0
87400087	武功	TalentIcon18	0	(1,0,0,0)	(2,100087,0)	0	0
87400088	武功	TalentIcon18	0	(1,0,0,0)	(2,100088,0)	0	0
87400089	武功	TalentIcon18	0	(1,0,0,0)	(2,100089,0)	0	0
87400090	武功	TalentIcon18	0	(1,0,0,0)	(2,100090,0)	0	0
87400091	武功	TalentIcon18	0	(1,0,0,0)	(2,100091,0)	0	0
87400092	武功	TalentIcon18	0	(1,0,0,0)	(2,100092,0)	0	0
87400093	武功	TalentIcon18	0	(1,0,0,0)	(2,100093,0)	0	0
87400094	武功	TalentIcon18	0	(1,0,0,0)	(2,100094,0)	0	0
87400095	武功	TalentIcon18	0	(1,0,0,0)	(2,100095,0)	0	0
87400096	武功	TalentIcon18	0	(1,0,0,0)	(2,100096,0)	0	0
87400097	武功	TalentIcon18	0	(1,0,0,0)	(2,100097,0)	0	0
87400098	武功	TalentIcon18	0	(1,0,0,0)	(2,100098,0)	0	0
87400099	武功	TalentIcon18	0	(1,0,0,0)	(2,100099,0)	0	0
87400100	武功	TalentIcon18	0	(1,0,0,0)	(2,100100,0)	0	0
87400101	武功	TalentIcon18	0	(1,0,0,0)	(2,100101,0)	0	0
87400102	武功	TalentIcon18	0	(1,0,0,0)	(2,100102,0)	0	0
87400103	武功	TalentIcon18	0	(1,0,0,0)	(2,100103,0)	0	0
87400104	武功	TalentIcon18	0	(1,0,0,0)	(2,100104,0)	0	0
87400105	武功	TalentIcon18	0	(1,0,0,0)	(2,100105,0)	0	0
87400106	武功	TalentIcon18	0	(1,0,0,0)	(2,100106,0)	0	0
87400107	武功	TalentIcon18	0	(1,0,0,0)	(2,100107,0)	0	0
87400108	武功	TalentIcon18	0	(1,0,0,0)	(2,100108,0)	0	0
87400109	武功	TalentIcon18	0	(1,0,0,0)	(2,100109,0)	0	0
87400110	武功	TalentIcon18	0	(1,0,0,0)	(2,100110,0)	0	0
87400111	武功	TalentIcon18	0	(1,0,0,0)	(2,100111,0)	0	0
87400112	武功	TalentIcon18	0	(1,0,0,0)	(2,100112,0)	0	0
87400113	武功	TalentIcon18	0	(1,0,0,0)	(2,100113,0)	0	0
87400114	武功	TalentIcon18	0	(1,0,0,0)	(2,100114,0)	0	0
87400115	武功	TalentIcon18	0	(1,0,0,0)	(2,100115,0)	0	0
87400116	武功	TalentIcon18	0	(1,0,0,0)	(2,100116,0)	0	0
87400117	武功	TalentIcon18	0	(1,0,0,0)	(2,100117,0)	0	0
87400118	武功	TalentIcon18	0	(1,0,0,0)	(2,100118,0)	0	0
87400119	武功	TalentIcon18	0	(1,0,0,0)	(2,100119,0)	0	0
87400120	武功	TalentIcon18	0	(1,0,0,0)	(2,100120,0)	0	0
87400121	武功	TalentIcon18	0	(1,0,0,0)	(2,100121,0)	0	0
87400122	武功	TalentIcon18	0	(1,0,0,0)	(2,100122,0)	0	0
87400123	武功	TalentIcon18	0	(1,0,0,0)	(2,100123,0)	0	0
87400124	武功	TalentIcon18	0	(1,0,0,0)	(2,100124,0)	0	0
87400125	武功	TalentIcon18	0	(1,0,0,0)	(2,100125,0)	0	0
87400126	武功	TalentIcon18	0	(1,0,0,0)	(2,100126,0)	0	0
87400127	武功	TalentIcon18	0	(1,0,0,0)	(2,100127,0)	0	0
87400128	武功	TalentIcon18	0	(1,0,0,0)	(2,100128,0)	0	0
87400129	武功	TalentIcon18	0	(1,0,0,0)	(2,100129,0)	0	0
87400130	武功	TalentIcon18	0	(1,0,0,0)	(2,100130,0)	0	0
87400131	武功	TalentIcon18	0	(1,0,0,0)	(2,100131,0)	0	0
87400132	武功	TalentIcon18	0	(1,0,0,0)	(2,100132,0)	0	0
87400133	武功	TalentIcon18	0	(1,0,0,0)	(2,100133,0)	0	0
87400134	武功	TalentIcon18	0	(1,0,0,0)	(2,100134,0)	0	0
87400135	武功	TalentIcon18	0	(1,0,0,0)	(2,100135,0)	0	0
87400136	武功	TalentIcon18	0	(1,0,0,0)	(2,100136,0)	0	0
87400137	武功	TalentIcon18	0	(1,0,0,0)	(2,100137,0)	0	0
