#ID	武功随机数量	心法随机数量	天赋随机数量	攻击属性
878174	-1	-1	-1	656 
878173	-1	-1	-1	640 
878247	-1	-1	-1	326 
600056	-1	-1	-1	320 
600057	-1	-1	-1	320 
600058	-1	-1	-1	320 
878246	-1	-1	-1	714 
878245	-1	-1	-1	714 
878243	-1	-1	-1	707 
100049	-1	-1	-1	339 
100050	-1	-1	-1	339 
100051	-1	-1	-1	355 
100052	-1	-1	-1	355 
100053	-1	-1	-1	355 
878197	-1	-1	-1	720 
878207	-1	-1	-1	726 
878240	-1	-1	-1	723 
878239	-1	-1	-1	723 
878238	-1	-1	-1	723 
878237	-1	-1	-1	723 
878236	-1	-1	-1	1114 
100024	-1	-1	-1	560 
100023	-1	-1	-1	544 
100022	-1	-1	-1	488 
610174	-1	-1	-1	525 
878187	-1	-1	-1	605 
878235	-1	-1	-1	342 
210181	-1	-1	-1	342 
210182	-1	-1	-1	342 
210183	-1	-1	-1	342 
878233	-1	-1	-1	349 
878131	-1	-1	-1	637 
878130	-1	-1	-1	730 
878129	-1	-1	-1	861 
878046	-1	-1	-1	912 
878232	-1	-1	-1	768 
878128	-1	-1	-1	768 
878045	-1	-1	-1	768 
100106	-1	-1	-1	861 
100105	-1	-1	-1	861 
100104	-1	-1	-1	861 
100063	-1	-1	-1	851 
878048	-1	-1	-1	912 
878189	-1	-1	-1	1498 
878365	-1	-1	-1	365 
878364	-1	-1	-1	365 
878003	-1	-1	-1	378 
878004	-1	-1	-1	397 
878005	-1	-1	-1	397 
878006	-1	-1	-1	406 
878007	-1	-1	-1	419 
890014	-1	-1	-1	384 
878281	-1	-1	-1	872 
878316	-1	-1	-1	958 
878315	-1	-1	-1	958 
878323	-1	-1	-1	982 
879011	-1	-1	-1	1030 
879057	-1	-1	-1	934 
879009	-1	-1	-1	974 
878314	-1	-1	-1	1717 
878082	-1	-1	-1	378 
100415	-1	-1	-1	342 
878083	-1	-1	-1	483 
878043	-1	-1	-1	928 
878042	-1	-1	-1	928 
878041	-1	-1	-1	992 
878040	-1	-1	-1	992 
990029	-1	-1	-1	1053 
878154	-1	-1	-1	1184 
878039	-1	-1	-1	1200 
878261	-1	-1	-1	1130 
878260	-1	-1	-1	1290 
100011	-1	-1	-1	1318 
100010	-1	-1	-1	1302 
878259	-1	-1	-1	1298 
878258	-1	-1	-1	1322 
878257	-1	-1	-1	1322 
878456	-1	-1	-1	1138 
878254	-1	-1	-1	2202 
878253	-1	-1	-1	2154 
200045	-1	-1	-1	1162 
200041	-1	-1	-1	1082 
310001	-1	-1	-1	472 
310002	-1	-1	-1	494 
310003	-1	-1	-1	510 
310004	-1	-1	-1	584 
310005	-1	-1	-1	610 
310006	-1	-1	-1	494 
310007	-1	-1	-1	629 
310008	-1	-1	-1	494 
310009	-1	-1	-1	605 
310010	-1	-1	-1	522 
310011	-1	-1	-1	546 
310012	-1	-1	-1	552 
310013	-1	-1	-1	638 
310014	-1	-1	-1	661 
310031	-1	-1	-1	549 
310032	-1	-1	-1	786 
310033	-1	-1	-1	555 
310034	-1	-1	-1	779 
310015	-1	-1	-1	517 
310016	-1	-1	-1	517 
310017	-1	-1	-1	517 
310018	-1	-1	-1	558 
310019	-1	-1	-1	562 
310020	-1	-1	-1	627 
310021	-1	-1	-1	630 
310022	-1	-1	-1	630 
310023	-1	-1	-1	624 
310024	-1	-1	-1	626 
310025	-1	-1	-1	626 
310026	-1	-1	-1	630 
310027	-1	-1	-1	674 
310028	-1	-1	-1	674 
310029	-1	-1	-1	792 
310030	-1	-1	-1	789 
310035	-1	-1	-1	504 
310036	-1	-1	-1	634 
310037	-1	-1	-1	634 
310038	-1	-1	-1	642 
310039	-1	-1	-1	794 
310040	-1	-1	-1	782 
310041	-1	-1	-1	790 
310042	-1	-1	-1	782 
310043	-1	-1	-1	782 
310044	-1	-1	-1	539 
310045	-1	-1	-1	603 
310046	-1	-1	-1	792 
310047	-1	-1	-1	792 
310048	-1	-1	-1	664 
310049	-1	-1	-1	600 
310050	-1	-1	-1	798 
310051	-1	-1	-1	722 
310052	-1	-1	-1	734 
310053	-1	-1	-1	555 
310054	-1	-1	-1	834 
310055	-1	-1	-1	882 
310056	-1	-1	-1	866 
310057	-1	-1	-1	584 
310058	-1	-1	-1	586 
310059	-1	-1	-1	600 
310060	-1	-1	-1	600 
310061	-1	-1	-1	805 
310062	-1	-1	-1	811 
310063	-1	-1	-1	571 
310064	-1	-1	-1	808 
310065	-1	-1	-1	805 
310066	-1	-1	-1	816 
310067	-1	-1	-1	581 
310068	-1	-1	-1	811 
310069	-1	-1	-1	850 
310070	-1	-1	-1	584 
310071	-1	-1	-1	827 
310072	-1	-1	-1	824 
310073	-1	-1	-1	590 
310074	-1	-1	-1	811 
310075	-1	-1	-1	582 
310076	-1	-1	-1	848 
310077	-1	-1	-1	582 
310078	-1	-1	-1	816 
310079	-1	-1	-1	826 
310080	-1	-1	-1	573 
310081	-1	-1	-1	584 
310082	-1	-1	-1	590 
310083	-1	-1	-1	606 
310084	-1	-1	-1	610 
310085	-1	-1	-1	622 
310086	-1	-1	-1	622 
310087	-1	-1	-1	1035 
310088	-1	-1	-1	1035 
310089	-1	-1	-1	1035 
310090	-1	-1	-1	1035 
310091	-1	-1	-1	850 
310092	-1	-1	-1	856 
310093	-1	-1	-1	846 
310094	-1	-1	-1	850 
310095	-1	-1	-1	859 
310096	-1	-1	-1	848 
310097	-1	-1	-1	1013 
310098	-1	-1	-1	1013 
310099	-1	-1	-1	901 
310100	-1	-1	-1	688 
310101	-1	-1	-1	736 
310102	-1	-1	-1	768 
310103	-1	-1	-1	760 
310104	-1	-1	-1	568 
310105	-1	-1	-1	888 
310106	-1	-1	-1	888 
310107	-1	-1	-1	566 
310108	-1	-1	-1	888 
310109	-1	-1	-1	899 
310110	-1	-1	-1	880 
310111	-1	-1	-1	898 
310112	-1	-1	-1	894 
310113	-1	-1	-1	901 
310114	-1	-1	-1	853 
310115	-1	-1	-1	901 
310116	-1	-1	-1	837 
310117	-1	-1	-1	837 
310118	-1	-1	-1	853 
310119	-1	-1	-1	587 
310120	-1	-1	-1	587 
310121	-1	-1	-1	581 
310122	-1	-1	-1	968 
310123	-1	-1	-1	968 
310124	-1	-1	-1	587 
310125	-1	-1	-1	978 
310126	-1	-1	-1	994 
310127	-1	-1	-1	603 
310128	-1	-1	-1	603 
310129	-1	-1	-1	965 
310130	-1	-1	-1	965 
310131	-1	-1	-1	960 
310132	-1	-1	-1	904 
310133	-1	-1	-1	936 
310134	-1	-1	-1	920 
310135	-1	-1	-1	606 
310136	-1	-1	-1	600 
310137	-1	-1	-1	600 
310138	-1	-1	-1	600 
310139	-1	-1	-1	994 
310140	-1	-1	-1	994 
310141	-1	-1	-1	987 
310142	-1	-1	-1	619 
310143	-1	-1	-1	619 
310144	-1	-1	-1	635 
310145	-1	-1	-1	635 
310146	-1	-1	-1	635 
310147	-1	-1	-1	1000 
310148	-1	-1	-1	1006 
310149	-1	-1	-1	1003 
310150	-1	-1	-1	1003 
310151	-1	-1	-1	1003 
310152	-1	-1	-1	1003 
310153	-1	-1	-1	1394 
310154	-1	-1	-1	776 
310155	-1	-1	-1	760 
310156	-1	-1	-1	704 
310157	-1	-1	-1	920 
310158	-1	-1	-1	885 
310159	-1	-1	-1	622 
310160	-1	-1	-1	622 
310161	-1	-1	-1	622 
310162	-1	-1	-1	622 
310163	-1	-1	-1	629 
310164	-1	-1	-1	917 
310165	-1	-1	-1	1010 
310166	-1	-1	-1	1141 
310167	-1	-1	-1	1192 
310168	-1	-1	-1	1048 
310169	-1	-1	-1	1048 
310170	-1	-1	-1	1048 
310171	-1	-1	-1	1141 
310172	-1	-1	-1	1141 
310173	-1	-1	-1	1141 
310174	-1	-1	-1	1131 
310175	-1	-1	-1	1192 
310176	-1	-1	-1	1778 
310177	-1	-1	-1	645 
310178	-1	-1	-1	645 
310179	-1	-1	-1	658 
310180	-1	-1	-1	677 
310181	-1	-1	-1	677 
310182	-1	-1	-1	686 
310183	-1	-1	-1	699 
310184	-1	-1	-1	664 
310185	-1	-1	-1	1152 
310186	-1	-1	-1	1238 
310187	-1	-1	-1	1238 
310188	-1	-1	-1	1262 
310189	-1	-1	-1	1310 
310190	-1	-1	-1	1214 
310191	-1	-1	-1	1254 
310192	-1	-1	-1	1997 
310193	-1	-1	-1	658 
310194	-1	-1	-1	622 
310195	-1	-1	-1	763 
310196	-1	-1	-1	1208 
310197	-1	-1	-1	1208 
310198	-1	-1	-1	1272 
310199	-1	-1	-1	1272 
310200	-1	-1	-1	1333 
310201	-1	-1	-1	1464 
310202	-1	-1	-1	1480 
310203	-1	-1	-1	1410 
310204	-1	-1	-1	1570 
310205	-1	-1	-1	1598 
310206	-1	-1	-1	1582 
310207	-1	-1	-1	1578 
310208	-1	-1	-1	1602 
310209	-1	-1	-1	1602 
310210	-1	-1	-1	1418 
310211	-1	-1	-1	2482 
310212	-1	-1	-1	2434 
310213	-1	-1	-1	1442 
310214	-1	-1	-1	1362 
410001	-1	-1	-1	752 
410002	-1	-1	-1	774 
410003	-1	-1	-1	790 
410004	-1	-1	-1	864 
410005	-1	-1	-1	890 
410006	-1	-1	-1	774 
410007	-1	-1	-1	909 
410008	-1	-1	-1	774 
410009	-1	-1	-1	885 
410010	-1	-1	-1	802 
410011	-1	-1	-1	826 
410012	-1	-1	-1	832 
410013	-1	-1	-1	918 
410014	-1	-1	-1	941 
410015	-1	-1	-1	829 
410016	-1	-1	-1	1066 
410017	-1	-1	-1	835 
410018	-1	-1	-1	1059 
410019	-1	-1	-1	797 
410020	-1	-1	-1	797 
410021	-1	-1	-1	797 
410022	-1	-1	-1	838 
410023	-1	-1	-1	842 
410024	-1	-1	-1	907 
410025	-1	-1	-1	910 
410026	-1	-1	-1	910 
410027	-1	-1	-1	904 
410028	-1	-1	-1	906 
410029	-1	-1	-1	906 
410030	-1	-1	-1	910 
410031	-1	-1	-1	954 
410032	-1	-1	-1	954 
410033	-1	-1	-1	1072 
410034	-1	-1	-1	1069 
410035	-1	-1	-1	784 
410036	-1	-1	-1	914 
410037	-1	-1	-1	914 
410038	-1	-1	-1	922 
410039	-1	-1	-1	1074 
410040	-1	-1	-1	1062 
410041	-1	-1	-1	1070 
410042	-1	-1	-1	1062 
410043	-1	-1	-1	1062 
410044	-1	-1	-1	819 
410045	-1	-1	-1	883 
410046	-1	-1	-1	1072 
410047	-1	-1	-1	1072 
410048	-1	-1	-1	944 
410049	-1	-1	-1	880 
410050	-1	-1	-1	1078 
410051	-1	-1	-1	1002 
410052	-1	-1	-1	1014 
410053	-1	-1	-1	835 
410054	-1	-1	-1	1114 
410055	-1	-1	-1	1162 
410056	-1	-1	-1	1146 
410057	-1	-1	-1	864 
410058	-1	-1	-1	866 
410059	-1	-1	-1	880 
410060	-1	-1	-1	880 
410061	-1	-1	-1	1085 
410062	-1	-1	-1	1091 
410063	-1	-1	-1	851 
410064	-1	-1	-1	1088 
410065	-1	-1	-1	1085 
410066	-1	-1	-1	1096 
410067	-1	-1	-1	861 
410068	-1	-1	-1	1091 
410069	-1	-1	-1	1130 
410070	-1	-1	-1	864 
410071	-1	-1	-1	1107 
410072	-1	-1	-1	1104 
410073	-1	-1	-1	870 
410074	-1	-1	-1	1091 
410075	-1	-1	-1	862 
410076	-1	-1	-1	1128 
410077	-1	-1	-1	862 
410078	-1	-1	-1	1096 
410079	-1	-1	-1	1106 
410080	-1	-1	-1	853 
410081	-1	-1	-1	864 
410082	-1	-1	-1	870 
410083	-1	-1	-1	886 
410084	-1	-1	-1	890 
410085	-1	-1	-1	902 
410086	-1	-1	-1	902 
410087	-1	-1	-1	1315 
410088	-1	-1	-1	1315 
410089	-1	-1	-1	1315 
410090	-1	-1	-1	1315 
410091	-1	-1	-1	1130 
410092	-1	-1	-1	1136 
410093	-1	-1	-1	1126 
410094	-1	-1	-1	1130 
410095	-1	-1	-1	1139 
410096	-1	-1	-1	1128 
410097	-1	-1	-1	1293 
410098	-1	-1	-1	1293 
410099	-1	-1	-1	1181 
410104	-1	-1	-1	848 
410105	-1	-1	-1	1168 
410106	-1	-1	-1	1168 
410107	-1	-1	-1	846 
410108	-1	-1	-1	1168 
410109	-1	-1	-1	1179 
410110	-1	-1	-1	1160 
410111	-1	-1	-1	1178 
410112	-1	-1	-1	1174 
410113	-1	-1	-1	1181 
410114	-1	-1	-1	1133 
410115	-1	-1	-1	1181 
410116	-1	-1	-1	1117 
410117	-1	-1	-1	1117 
410118	-1	-1	-1	1133 
410119	-1	-1	-1	867 
410120	-1	-1	-1	867 
410121	-1	-1	-1	861 
410122	-1	-1	-1	1248 
410123	-1	-1	-1	1248 
410124	-1	-1	-1	867 
410125	-1	-1	-1	1258 
410126	-1	-1	-1	1274 
410127	-1	-1	-1	883 
410128	-1	-1	-1	883 
410129	-1	-1	-1	1245 
410130	-1	-1	-1	1245 
410131	-1	-1	-1	1240 
410132	-1	-1	-1	1184 
410133	-1	-1	-1	1216 
410134	-1	-1	-1	1200 
410135	-1	-1	-1	886 
410136	-1	-1	-1	880 
410137	-1	-1	-1	880 
410138	-1	-1	-1	880 
410139	-1	-1	-1	1274 
410140	-1	-1	-1	1274 
410141	-1	-1	-1	1267 
410142	-1	-1	-1	899 
410143	-1	-1	-1	899 
410144	-1	-1	-1	915 
410145	-1	-1	-1	915 
410146	-1	-1	-1	915 
410147	-1	-1	-1	1280 
410148	-1	-1	-1	1286 
410149	-1	-1	-1	1283 
410150	-1	-1	-1	1283 
410151	-1	-1	-1	1283 
410152	-1	-1	-1	1283 
410153	-1	-1	-1	1674 
410159	-1	-1	-1	902 
410160	-1	-1	-1	902 
410161	-1	-1	-1	902 
410162	-1	-1	-1	902 
410163	-1	-1	-1	909 
410164	-1	-1	-1	1197 
410165	-1	-1	-1	1290 
410166	-1	-1	-1	1421 
410167	-1	-1	-1	1472 
410168	-1	-1	-1	1328 
410169	-1	-1	-1	1328 
410170	-1	-1	-1	1328 
410171	-1	-1	-1	1421 
410172	-1	-1	-1	1421 
410173	-1	-1	-1	1421 
410174	-1	-1	-1	1411 
410175	-1	-1	-1	1472 
410176	-1	-1	-1	2058 
410177	-1	-1	-1	925 
410178	-1	-1	-1	925 
410179	-1	-1	-1	938 
410180	-1	-1	-1	957 
410181	-1	-1	-1	957 
410182	-1	-1	-1	966 
410183	-1	-1	-1	979 
410184	-1	-1	-1	944 
410185	-1	-1	-1	1432 
410186	-1	-1	-1	1518 
410187	-1	-1	-1	1518 
410188	-1	-1	-1	1542 
410189	-1	-1	-1	1590 
410190	-1	-1	-1	1494 
410191	-1	-1	-1	1534 
410192	-1	-1	-1	2277 
410100	-1	-1	-1	968 
410101	-1	-1	-1	1016 
410102	-1	-1	-1	1048 
410103	-1	-1	-1	1040 
410154	-1	-1	-1	1056 
410155	-1	-1	-1	1040 
410156	-1	-1	-1	984 
410157	-1	-1	-1	1200 
410158	-1	-1	-1	1165 
410213	-1	-1	-1	1325 
410214	-1	-1	-1	1386 
410193	-1	-1	-1	938 
410194	-1	-1	-1	902 
410195	-1	-1	-1	1043 
410196	-1	-1	-1	1488 
410197	-1	-1	-1	1488 
410198	-1	-1	-1	1552 
410199	-1	-1	-1	1552 
410200	-1	-1	-1	1613 
410201	-1	-1	-1	1744 
410202	-1	-1	-1	1760 
410203	-1	-1	-1	1690 
410204	-1	-1	-1	1850 
410205	-1	-1	-1	1878 
410206	-1	-1	-1	1862 
410207	-1	-1	-1	1858 
410208	-1	-1	-1	1882 
410209	-1	-1	-1	1882 
410210	-1	-1	-1	1698 
410211	-1	-1	-1	2762 
410212	-1	-1	-1	2714 
